Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
"Alan Fekete, University of Sydney",Alan,Fekete,University of Sydney,Sydney,General Conference Chair,Australia,
"Uwe Roehm, University of Sydney",Uwe,Röhm,University of Sydney,Sydney,General Conference Chair,Australia,https://orcid.org/0000-0003-3598-7119
"Juliana Freire, New York University",Juliana,Freire,New York University,New York City,Program Committee Chairs,United States,https://orcid.org/0000-0003-3915-7075
"Xuemin Lin, University of New South Wales",Xuemin,Lin,University of New South Wales,Sydney,Program Committee Chairs,Australia,
"Arun Kumar, University of California, San Diego",Arun,Kumar,University of California,San Diego,Associate Editors,United States,
"Azza Abouzied, NYU Abu Dhabi",Azza,Abouzied,New York University,Abu Dhabi,Associate Editors,United Arab Emirates,
"Beng Chin Ooi, NUS",Beng Chin,Ooi,National University of Singapore,Singapore,Associate Editors,Singapore,https://orcid.org/0000-0003-4446-1100
"Boris Glavic, Illinois Institute of Technology",Boris,Glavic,Illinois Institute of Technology,Chicago,Associate Editors,United States,https://orcid.org/0000-0003-2887-2452
"Dan Suciu, University of Washington",Dan,Suciu,University of Washington,Seattle,Associate Editors,United States,
"Divyakant Agrawal, University of California, Santa Barbara",Divyakant,Agrawal,University of California,Santa Barbara,Associate Editors,Santa Barbara,https://orcid.org/0000-0002-0215-9539
"Eugene Wu, Columbia University",Eugene,Wu,Columbia University,New York City,Associate Editors,United States,
"Fatma Ozcan, Google",Fatma,Özcan,Google,Sunnyvale,Associate Editors,United States,
"Georgia Koutrika, ATHENA",Georgia,Koutrika,Athena Research Center,Athens,Associate Editors,Greece,
"Jeffrey Xu Yu, Chinese University of Hong Kong",Jeffrey Xu,Yu,Chinese University of Hong Kong,Hong Kong,Associate Editors,China,https://orcid.org/0000-0002-9738-827X
"Julia Stoyanovich, New York University",Julia,Stoyanovich,New York University,New York City,Associate Editors,United States,
"Jun Yang, Duke University",Jun,Yang,Duke University,Durham,Associate Editors,United States,
"K. Selçuk Candan, Arizona State University",K. Selçuk,Candan,Arizona State University,Tempe,Associate Editors,United States,https://orcid.org/0000-0003-4977-6646
"Khuzaima Daudjee, University of Waterloo",Khuzaima,Daudjee,University of Waterloo,Waterloo,Associate Editors,Canada,
"Laure Berti-Equille, IRD",Laure,Berti-Equille,Research Institute for Development,Montpellier,Associate Editors,France,https://orcid.org/0000-0002-8046-0570
"Lei Chen, Hong Kong University of Science and Technology",Lei,Chen,Hong Kong University of Science and Technology,Hong Kong,Associate Editors,Hong Kong SAR,
"Mohamed Mokbel, University of Minnesota - Twin Cities",Mohamed F.,Mokbel,University of Minnesota,Twin Cities,Associate Editors,United States,https://orcid.org/0000-0002-6686-1757
"Neoklis Polyzotis, Google",Neoklis,Polyzotis,Google,Mountain View,Associate Editors,United States,https://orcid.org/0000-0002-2694-8591
"Paolo Papotti, EURECOM",Paolo,Papotti,EURECOM,Antibes,Associate Editors,France,https://orcid.org/0000-0003-0651-4128
"Peter Boncz, CWI",Peter,Boncz,Centrum Wiskunde & Informatica,Amsterdam,Associate Editors,Netherlands,
"Sebastian Schelter, University of Amsterdam",Sebastian,Schelter,University of Amsterdam,Amsterdam,Associate Editors,Netherlands,
"Sourav S Bhowmick, Nanyang Technological University",Sourav S.,Bhowmick,Nanyang Technological University,Singapore,Associate Editors,Singapore,
"Surajit Chaudhuri, Microsoft Research",Surajit,Chaudhuri,Microsoft Research,Redmond,Associate Editors,United States,
"Themis Palpanas, University of Paris",Themis,Palpanas,University of Paris,Paris,Associate Editors,France,https://orcid.org/0000-0002-8031-0265
"Vanessa Braganholo, Fluminense Federal University",Vanessa,Braganholo,Fluminense Federal University,Niterói,Associate Editors,Brazil,https://orcid.org/0000-0002-1184-8192
"Viktor Leis, Friedrich Schiller University Jena",Viktor,Leis,Friedrich Schiller University Jena,Jena,Associate Editors,Germany,
"Wang-Chiew Tan, Megagon Labs",Wang-Chiew,Tan,Megagon Labs,Mountain View,Associate Editors,United States,
"Wenjie Zhang, University of New South Wales",Wenjie,Zhang,University of New South Wales,Sydney,Associate Editors,Australia,
"Wook-Shin Han, POSTECH",Wook-Shin,Han,Pohang University of Science and Technology,Pohang,Associate Editors,South Korea,
"Xiaofang Zhou, The Hong Kong University of Science and Technology",Xiaofang,Zhou,Hong Kong University of Science and Technology,Hong Kong,Associate Editors,Hong Kong SAR,
"Manos Athanassoulis, Boston University",Manos,Athanassoulis,Boston University,Boston,Publicity Chair,United States,https://orcid.org/0000-0003-1837-0010
"Peter Triantafillou, University of Warwick",Peter,Triantafillou,University of Warwick,Coventry,Reproducibility Evaluation Chairs,United Kingdom,https://orcid.org/0000-0002-5807-6011
"Oliver Kennedy, University at Buffalo",Oliver,Kennedy,State University of New York,Buffalo,Reproducibility Evaluation Chairs,United States,https://orcid.org/0000-0003-0632-1668
"Laks V.S. Lakshmanan, University of British Columbia",Laks V.S.,Lakshmanan,University of British Columbia,Vancouver,Tutorial Chairs,Canada,
"Ishikawa Yoshiharu, Nagoya University",Ishikawa,Yoshiharu,Nagoya University,Nagoya,Tutorial Chairs,Japan,
"C. Mohan, National University of Singapore",C.,Mohan,National University of Singapore,Singapore,Industrial Chairs,Singapore,
"Eric Simon, SAP",Eric,Simon,SAP,?,Industrial Chairs,France,
"Feifei Li, Alibaba",Feifei,Li,Alibaba Group,Hangzhou,Industrial Chairs,China,
"Eduard Dragut, Temple University",Eduard,Dragut,Temple University,Philadelphia,Demo Chairs,United States,https://orcid.org/0000-0002-3103-054X
"Immanuel Trummer, Cornell University",Immanuel,Trummer,Cornell University,Ithaka,Demo Chairs,United States,https://orcid.org/0000-0002-7203-2349
"AnHai Doan, University of Wisconsin, Madison",AnHai,Doan,University of Wisconsin,Madison,Panel Chairs,United States,
"Sihem Amer-Yahia, CNRS, Univ. Grenoble Alpes",Sihem,Amer-Yahia,French National Centre for Scientific Research,Paris,Panel Chairs,France,
"Peter Bailis, Sisu Data",Peter,Bailis,Sisu Data,San Francisco,Panel Chairs,United States,
"HV Jagadish, University of Michigan",HV,Jagadish,University of Michigan,Ann Arbor,Workshop Chairs,United States,
"Raul Castro-Fernandez, University of Chicago",Raul,Castro-Fernandez,University of Chicago,Chicago,Workshop Chairs,United States,
"Xin Cao, University of New South Wales",Xin,Cao,University of New South Wales,Sydney,Proceedings Chairs,Australia,
"Lijun Chang, University of Sydney",Lijun,Chang,University of Sydney,Sydney,Proceedings Chairs,Australia,
"Kai Wang, University of New South Wales",Kai,Wang,University of New South Wales,Sydney,Web Chair,Australia,
