Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
H. V. Jagadish,H. V.,Jagadish,University of Michigan,,Founding Editor in Chief,United States,https://orcid.org/0000-0003-0724-5214
Elisa Bertino,Elisa,Bertino,Purdue University,,Technical Program Chair,United States,https://orcid.org/0000-0002-4029-7051
Paolo Atzeni,Paolo,Atzeni,Roma Tre University,,Track Chair,Italy,https://orcid.org/0000-0003-1513-4725
Kian Lee Tan,Kian-Lee,Tan,National University of Singapore,,Track Chair,Singapore,
Yi Chen,Yi,Chen,New Jersey Institute of Technology,,Proceedings Chair,United States,
Y. C. Tay,Y. C.,Tay,?,,Proceedings Chair,?,
Gerald Weber,Gerald,Weber,University of Auckland,,Information Director,New Zealand,https://orcid.org/0000-0002-2935-1571
Serge Abiteboul,Serge,Abiteboul,?,,Steering Committee,?,
Peter Apers,Peter,Apers,?,,Steering Committee,?,
Philip Bernstein,Philip A.,Bernstein,Microsoft Research,,Steering Committee,United States,
Elisa Bertino,Elisa,Bertino,Purdue University,,Steering Committee,United States,https://orcid.org/0000-0002-4029-7051
Peter Buneman,Peter,Buneman,University of Edinburgh,,Steering Committee,United Kingdom,
Martin Kersten,Martin,Kersten,Centrum Wiskunde & Informatica,,Steering Committee,Netherlands,
Z Meral Ozsoyuglu,Z Meral,Ozsoyuglu,?,,Steering Committee,?,
"Daniel ABADI (Yale University, USA)",Daniel,Abadi,Yale University,,Member Review Board,United States,
"Ashraf ABOULNAGA (University of Waterloo, Canada)",Ashraf,Aboulnaga,University of Waterloo,,Member Review Board,Canada,
"Laurent AMSALEG (IRISA-CNRS, France)",Laurent,Amsaleg,IRISA,,Member Review Board,France,https://orcid.org/0000-0003-0204-0930
"Walid AREF (Purdue University, USA)",Walid,Aref,Purdue University,,Member Review Board,United States,https://orcid.org/0000-0001-8169-7775
"Sourav BHOWMICK (Nanyang Technological University, Singapore)",Sourav,Bhowmick,Nanyang Technological University,,Member Review Board,Singapore,
"Angela BONIFATI (Icar-CNR, Italy)",Angela,Bonifati,Icar,,Member Review Board,Italy,https://orcid.org/0000-0002-9582-869X
"Peter BONCZ (CWI, The Netherlands)",Peter,Boncz,Centrum Wiskunde & Informatica,,Member Review Board,Netherlands,
"Philippe BONNET (University of Copenhagen, Denmark)",Philippe,Bonnet,IT University of Copenhagen,,Member Review Board,Denmark,
"Luc BOUGANIM (INRIA, France)",Luc,Bouganim,INRIA,Saclay,Member Review Board,France,
"Stéphane BRESSAN (National University of Singapore, Singapore)",Stéphane,Bressan,National University of Singapore,,Member Review Board,Singapore,
"Nicolas BRUNO (Microsoft Research, USA)",Nicolas,Bruno,Microsoft Research,,Member Review Board,United States,
"Barbara CATANIA (Universita di Genova, Italy )",Barbara,Catania,University of Genoa,,Member Review Board,Italy,https://orcid.org/0000-0002-6443-169X
"Chee Yong CHAN (National University of Singapore, Singapore)",Chee Yong,Chan,National University of Singapore,,Member Review Board,Singapore,
"Ugur CETINTEMEL (Brown University, USA)",Ugur,Cetintemel,Brown University,,Member Review Board,United States,
"Lei CHEN (Hong Kong University of Science and Technology, China)",Lei,Chen,Hong Kong University of Science and Technology,,Member Review Board,China,
"Shimin CHEN (Intel Research Pittsburgh, USA)",Shimin,Chen,Intel Research Pittsburgh,,Member Review Board,United States,
"Reynold CHENG (University of Hong Kong, China)",Reynold,Cheng,University of Hong Kong,,Member Review Board,China,https://orcid.org/0000-0002-9480-9809
"Brian COOPER (Yahoo! Research, USA)",Brian,Cooper,Yahoo! Research,,Member Review Board,United States,
"Bin CUI (Peking University, China)",Bin,Cui,Peking University,,Member Review Board,China,
"Gautam DAS (University of Texas, Arlington, USA)",Gautam,Das,University of Texas,Arlington,Member Review Board,United States,
"Amol DESHPANDE (University of Maryland, USA)",Amol,Deshpande,University of Maryland,,Member Review Board,United States,
