Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Lei Chen,Lei,Chen,Hong Kong University of Science and Technology,,Editor in Chief,Hong Kong SAR,
Fatma Özcan,Fatma,Özcan,IBM Research,Almaden,Editor in Chief,United States,
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Managing Editor,United States,
Peter Boncz,Peter,Boncz,Centrum Wiskunde & Informatica,,Member Advisory Board,Netherlands,
Xin Luna Dong,Xin Luna,Dong,Amazon,,Member Advisory Board,United States,
Juliana Freire,Juliana,Freire,New York University,,Member Advisory Board,United States,https://orcid.org/0000-0003-3915-7075
Jayant Haritsa,Jayant,Haritsa,Indian Institute of Science,Bangalore,Member Advisory Board,India,
Wolfgang Lehner,Wolfgang,Lehner,Technical University of Dresden,,Member Advisory Board,Germany,https://orcid.org/0000-0001-8107-2775
Renée J. Miller,Renée J.,Miller,Northeastern University,Boston,Member Advisory Board,United States,
Tova Milo,Tova,Milo,Tel Aviv University,,Member Advisory Board,Israel,
M. Tamer Özsu,M. Tamer,Özsu,University of Waterloo,,Member Advisory Board,Canada,https://orcid.org/0000-0002-8126-1717
Azza Abouzied,Azza,Abouzied,New York University,Abu Dhabi,Associate Editor,United Arab Emirates,
Selcuk Candan,K. Selçuk,Candan,Arizona State University,Tempe,Associate Editor,United States,
Surajit Chaudhuri,Surajit,Chaudhuri,Microsoft Research,,Associate Editor,United States,
Amol Deshpande,Amol,Deshpande,University of Maryland,,Associate Editor,United States,
Johann-Christoph Freytag,Johann-Christoph,Freytag,Humboldt University of Berlin,,Associate Editor,Germany,
Rainer Gemulla,Rainer,Gemulla,University of Mannheim,,Associate Editor,Germany,https://orcid.org/0000-0003-2762-0050
Nick Koudas,Nick,Koudas,University of Toronto,,Associate Editor,Canada,
Georgia Koutrika,Georgia,Koutrika,Athena Research Center,,Associate Editor,Greece,
Yunyao Li,Yunyao,Li,IBM Research,Almaden,Associate Editor,United States,
Alexandra Meliou,Alexandra,Meliou,University of Massachusetts,Amherst,Associate Editor,United States,
Arnab Nandi,Arnab,Nandi,Ohio State University,Columbus,Associate Editor,United States,
M. Tamer Özsu,M. Tamer,Özsu,University of Waterloo,,Associate Editor,Canada,https://orcid.org/0000-0002-8126-1717
Themis Palpanas,Themis,Palpanas,Paris Descartes University,,Associate Editor,France,https://orcid.org/0000-0002-8031-0265
Alkis Polyzotis,Neoklis,Polyzotis,Google Research,Mountain View,Associate Editor,United States,
Kyuseok Shim,Kyuseok,Shim,Seoul National University,,Associate Editor,South Korea,
Xiaokui Xiao,Xiaokui,Xiao,National University of Singapore,,Associate Editor,Singapore,
Meihui Zhang,Meihui,Zhang,Beijing Institute of Technology,,Associate Editor,China,https://orcid.org/0000-0002-0752-9877
Abdul Quamar,Abdul,Quamar,IBM Research,Almaden,Publication Editor,United States,
Yongxin Tong,Yongxin,Tong,Beihang University,,Publication Editor,China,https://orcid.org/0000-0002-5598-0312
Ashraf Aboulnaga,Ashraf,Aboulnaga,Qatar Computing Research Institute,,Member Review Board,Qatar,
Divyakant Agrawal,Divyakant,Agrawal,University of California,Santa Barbara,Member Review Board,United States,https://orcid.org/0000-0002-0215-9539
Ismail Sengor Altingovde,Ismail Sengor,Altingovde,Middle East Technical University,,Member Review Board,Turkey,https://orcid.org/0000-0002-9764-2071
Ilkay Altintas,Ilkay,Altintas,San Diego Supercomputing Center,,Member Review Board,United States,https://orcid.org/0000-0002-2196-0305
Yael Amsterdamer,Yael,Amsterdamer,Bar-Ilan University,,Member Review Board,Israel,
Nicolas Anciaux,Nicolas,Anciaux,INRIA,Saclay,Member Review Board,France,
Pelin Angin,Pelin,Angin,Middle East Technical University,,Member Review Board,Turkey,https://orcid.org/0000-0002-6419-2043
Arvind Arasu,Arvind,Arasu,Microsoft Research,,Member Review Board,United States,
Nikolaus Augsten,Nikolaus,Augsten,University of Salzburg,,Member Review Board,Austria,https://orcid.org/0000-0002-3036-6201
Ilaria Bartolini,Ilaria,Bartolini,University of Bologna,,Member Review Board,Italy,https://orcid.org/0000-0002-8074-1129
Philip Bernstein,Philip A.,Bernstein,Microsoft Research,,Member Review Board,United States,
Arnab Bhattacharya,Arnab,Bhattacharya,Indian Institute of Technology,Kanpur,Member Review Board,India,
Spyros Blanas,Spyros,Blanas,Ohio State University,Columbus,Member Review Board,United States,
Matthias Boehm,Matthias,Boehm,Graz University of Technology,,Member Review Board,Austria,
Michael Böhlen,Michael H.,Böhlen,University of Zurich,,Member Review Board,Switzerland,https://orcid.org/0000-0003-3694-9026
Angela Bonifati,Angela,Bonifati,Claude Bernard University Lyon 1,,Member Review Board,France,https://orcid.org/0000-0002-9582-869X
Philippe Bonnet,Philippe,Bonnet,IT University of Copenhagen,,Member Review Board,Denmark,
Sebastian Breß,Sebastian,Breß,German Research Center for Artificial Intelligence,,Member Review Board,Germany,
Huiping Cao,Huiping,Cao,New Mexico State University,,Member Review Board,United States,https://orcid.org/0000-0002-1350-1846
Sang Kyun Cha,Sang Kyun,Cha,Seoul National University,,Member Review Board,South Korea,
Chee-Yong Chan,Chee Yong,Chan,National University of Singapore,,Member Review Board,Singapore,
Badrish Chandramouli,Badrish,Chandramouli,Microsoft Research,,Member Review Board,United States,
Yi Chen,Yi,Chen,New Jersey Institute of Technology,,Member Review Board,United States,
Hong Cheng,Hong,Cheng,Chinese University of Hong Kong,,Member Review Board,Hong Kong SAR,
James Cheng,James,Cheng,Chinese University of Hong Kong,,Member Review Board,Hong Kong SAR,
Fei Chiang,Fei,Chiang,McMaster University,,Member Review Board,Canada,
Byron Choi,Byron,Choi,Hong Kong Baptist University,,Member Review Board,Hong Kong SAR,https://orcid.org/0000-0002-8381-336X
Xu Chu,Xu,Chu,Georgia Institute of Technology,,Member Review Board,United States,
Bobbie Cochrane,Bobbie,Cochrane,IBM,,Member Review Board,United States,
Tyson Condie,Tyson,Condie,Microsoft Research,,Member Review Board,United States,
Bin Cui,Bin,Cui,Peking University,,Member Review Board,China,
Carlo Curino,Carlo,Curino,Microsoft Research,,Member Review Board,United States,
Khuzaima Daudjee,Khuzaima,Daudjee,University of Waterloo,,Member Review Board,Canada,
Bolin Ding,Bolin,Ding,Alibaba Group,,Member Review Board,China,
Jens Dittrich,Jens,Dittrich,Saarland University,,Member Review Board,Germany,
Xin Luna Dong,Xin Luna,Dong,Amazon,,Member Review Board,United States,
Curtis Dyreson,Curtis,Dyreson,Utah State University,,Member Review Board,United States,https://orcid.org/0000-0003-0236-1515
Mohamed Eltabakh,Mohamed Y.,Eltabakh,Worcester Polytechnic Institute,,Member Review Board,United States,
Alan Fekete,Alan,Fekete,University of Sydney,,Member Review Board,Australia,
Hakan Ferhatosmanoglu,Hakan,Ferhatosmanoglu,University of Warwick,,Member Review Board,United Kingdom,
Avrilia Floratou,Avrilia,Floratou,Microsoft Research,,Member Review Board,United States,
Ada Wai-Chee Fu,Ada Wai-Chee,Fu,Chinese University of Hong Kong,,Member Review Board,Hong Kong SAR,
Johann Gamper,Johann,Gamper,Free University of Bozen-Bolzano,,Member Review Board,Italy,https://orcid.org/0000-0002-7128-507X
Jinyang Gao,Jinyang,Gao,National University of Singapore,,Member Review Board,Singapore,https://orcid.org/0000-0001-8247-1196
Yunjun Gao,Yunjun,Gao,Zhejiang University,,Member Review Board,China,https://orcid.org/0000-0003-3816-8450
Tingjian Ge,Tingjian,Ge,University of Massachusetts,Lowell,Member Review Board,United States,
Bugra Gedik,Bugra,Gedik,Bilkent University,,Member Review Board,Turkey,https://orcid.org/0000-0002-0622-1141
Floris Geerts,Floris,Geerts,University of Antwerp,,Member Review Board,Belgium,https://orcid.org/0000-0002-8967-2473
Boris Glavic,Boris,Glavic,Illinois Institute of Technology,,Member Review Board,United States,https://orcid.org/0000-0003-2887-2452
Zhiguo Gong,Zhiguo,Gong,University of Macau,,Member Review Board,Macau SAR,https://orcid.org/0000-0002-4588-890X
Goetz Graefe,Goetz,Graefe,Google Research,Madison,Member Review Board,United States,
Hakan Hacigumus,Hakan,Hacigumus,Google,Mountain View,Member Review Board,United States,
Wook-Shin Han,Wook-Shin,Han,Pohang University of Science and Technology,,Member Review Board,South Korea,
Oktie Hassanzadeh,Oktie,Hassanzadeh,IBM Research,Yorktown,Member Review Board,United States,https://orcid.org/0000-0001-5307-9857
Michael Hay,Michael,Hay,Colgate University,,Member Review Board,United States,
Melanie Herschel,Melanie,Herschel,University of Stuttgart,,Member Review Board,Germany,
Katja Hose,Katja,Hose,Aalborg University,,Member Review Board,Denmark,https://orcid.org/0000-0001-7025-8099
Zi Huang,Zi,Huang,University of Queensland,,Member Review Board,Australia,
Seung-Won Hwang,Seung-won,Hwang,Yonsei University,,Member Review Board,South Korea,
Yoshiharu Ishikawa,Yoshiharu,Ishikawa,Nagoya University,,Member Review Board,Japan,
H. V. Jagadish,H. V.,Jagadish,University of Michigan,,Member Review Board,United States,https://orcid.org/0000-0003-0724-5214
Eser Kandogan,Eser,Kandogan,IBM Research,Almaden,Member Review Board,United States,
Murat Kantarcioglu,Murat,Kantarcioglu,University of Texas,Dallas,Member Review Board,United States,https://orcid.org/0000-0001-9795-9063
Pinar Karagoz,Pinar,Karagoz,Middle East Technical University,,Member Review Board,Turkey,https://orcid.org/0000-0003-1366-8395
Manos Karpathiotakis,Manos,Karpathiotakis,Facebook,,Member Review Board,United States,
Arijit Khan,Arijit,Khan,Nanyang Technological University,,Member Review Board,Singapore,https://orcid.org/0000-0002-7312-6312
Daniel Kifer,Daniel,Kifer,Pennsylvania State University,,Member Review Board,United States,https://orcid.org/0000-0002-4611-7066
Donald Kossmann,Donald,Kossmann,Microsoft Research,,Member Review Board,United States,
