Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
H. V. Jagadish,H. V.,Jagadish,University of Michigan,,Founding Editor in Chief,United States,https://orcid.org/0000-0003-0724-5214
Joseph M. Hellerstein,Joseph M.,Hellerstein,?,,Editor in Chief,?,
Jose Blakeley,Jose,Blakeley,Microsoft Research,,Editor in Chief,United States,
Nick Koudas,Nick,Koudas,University of Toronto,,Associate Editor,Canada,
Wolfgang Lehner,Wolfgang,Lehner,Technical University of Dresden,,Associate Editor,Germany,https://orcid.org/0000-0001-8107-2775
Sunita Sarawagi,Sunita,Sarawagi,Indian Institute of Technology,Bombay,Associate Editor,India,
Uwe Röhm (University of Sydney),Uwe,Röhm,University of Sydney,,Proceedings Chair,Australia,https://orcid.org/0000-0003-3598-7119
Gerald Weber,Gerald,Weber,University of Auckland,,Information Director,New Zealand,https://orcid.org/0000-0002-2935-1571
Serge Abiteboul,Serge,Abiteboul,?,,Steering Committee,?,
Peter Apers,Peter,Apers,?,,Steering Committee,?,
Philip Bernstein,Philip A.,Bernstein,Microsoft Research,,Steering Committee,United States,
Elisa Bertino,Elisa,Bertino,Purdue University,,Steering Committee,United States,https://orcid.org/0000-0002-4029-7051
Peter Buneman,Peter,Buneman,University of Edinburgh,,Steering Committee,United Kingdom,
Martin Kersten,Martin,Kersten,Centrum Wiskunde & Informatica,,Steering Committee,Netherlands,
Z Meral Ozsoyuglu,Z Meral,Ozsoyuglu,?,,Steering Committee,?,
Ashraf Aboulnaga (University of Waterloo),Ashraf,Aboulnaga,University of Waterloo,,Member Review Board,United States,
Sibel Adali (Rensselaer Polytechnic Institute),Sibel,Adali,Rensselaer Polytechnic Institute,,Member Review Board,United States,
Charu Aggarwal (IBM Watson Research Center),Charu,Aggarwal,IBM Research,Watson Research Center,Member Review Board,United States,
"Divyakant Agrawal (Univ. California, Santa Barbara)",Divyakant,Agrawal,University of California,Santa Barbara,Member Review Board,United States,https://orcid.org/0000-0002-0215-9539
Anastasia Ailamaki (EPFL Lausanne),Anastasia,Ailamaki,École polytechnique fédérale de Lausanne,,Member Review Board,Switzerland,
Gustavo Alonso (ETH Zurich),Gustavo,Alonso,ETH Zurich,,Member Review Board,Switzerland,
Shivnath Babu (Duke University),Shivnath,Babu,Duke University,,Member Review Board,United States,
Roberto Bayardo (Google),Roberto,Bayardo,Google,Mountain View,Member Review Board,United States,
Elisa Bertino (Purdue University),Elisa,Bertino,Purdue University,,Member Review Board,United States,https://orcid.org/0000-0002-4029-7051
"Peter Boncz (CWI, Netherlands)",Peter,Boncz,Centrum Wiskunde & Informatica,,Member Review Board,Netherlands,
Angela Bonifati (Icar-CNR),Angela,Bonifati,Claude Bernard University Lyon 1,,Member Review Board,France,https://orcid.org/0000-0002-9582-869X
Christof Bornhoevd (SAP Palo Alto),Christof,Bornhoevd,SAP,Palo Alto,Member Review Board,Germany,
Mike Cafarella (University of Washington),Mike,Cafarella,University of Washington,,Member Review Board,United States,
K. Selcuk Candan (Arizona State University),K. Selçuk,Candan,Arizona State University,Tempe,Member Review Board,United States,
Malu Castellanos (HP Labs),Malu,Castellanos,HP Labs,,Member Review Board,United States,
Tiziana Catarci (University of Rome),Tiziana,Catarci,Sapienza University of Rome,,Member Review Board,Italy,https://orcid.org/0000-0002-3578-1121
Chee-Yong Chan (National University of Singapore),Chee-Yong,Chan,National University of Singapore,,Member Review Board,Singapore,
"Kevin Chang (University of Illinois, Urbana-Champaign)",Kevin,Chang,University of Illinois,Urbana-Champaign,Member Review Board,United States,
Surajit Chaudhuri (Microsoft Research),Surajit,Chaudhuri,Microsoft Research,,Member Review Board,United States,
Rada Chirkova (North Carolina State University),Rada,Chirkova,North Carolina State University,,Member Review Board,United States,
Jan Chomicki (University at Buffalo),Jan,Chomicki,University at Buffalo,,Member Review Board,United States,https://orcid.org/0000-0002-5030-1544
Chin-Wan Chung (Korea Advanced Institute of SaT),Chin-Wan,Chung,Korea Advanced Institute of Science and Technology,,Member Review Board,South Korea,
Chris Clifton (Purdue University),Chris,Clifton,Purdue University,,Member Review Board,United States,https://orcid.org/0000-0001-7274-1471
Christine Collet (Grenoble Institute of Technology),Christine,Collet,Grenoble Institute of Technology,,Member Review Board,France,
Graham Cormode (AT&T Labs),Graham,Cormode,AT&T Labs,,Member Review Board,United States,https://orcid.org/0000-0002-0698-0922
"Gautam Das (University of Texas, Arlington)",Gautam,Das,University of Texas,Arlington,Member Review Board,United States,
Anish Das Sarma (Yahoo! Research),Anish Das,Sarma,Yahoo! Research,,Member Review Board,United States,
Amol Deshpande (University of Maryland),Amol,Deshpande,University of Maryland,,Member Review Board,United States,
AnHai Doan (University of Wisconsin),AnHai,Doan,University of Wisconsin,Madison,Member Review Board,United States,
Xin Dong (AT&T Labs),Xin,Dong,AT&T Labs,,Member Review Board,United States,
Alexandre Evfimievski (IBM Research),Alexandre,Evfimievski,IBM Research,Almaden,Member Review Board,United States,
Wenfei Fan (University of Edinburgh & Bell Labs),Wenfei,Fan,University of Edinburgh,,Member Review Board,United Kingdom,https://orcid.org/0000-0001-5149-2656
Johann-Christoph Freytag (Humboldt-Universitaet zu Berlin),Johann-Christoph,Freytag,Humboldt University of Berlin,,Member Review Board,Germany,
Johannes Gehrke (Cornell University),Johannes,Gehrke,Cornell University,,Member Review Board,United States,
Rainer Gemulla (IBM Almaden Research Center),Rainer,Gemulla,IBM Research,Almaden,Member Review Board,United States,https://orcid.org/0000-0003-2762-0050
Aristides Gionis (Yahoo! Research),Aristides,Gionis,Yahoo! Research,,Member Review Board,United States,https://orcid.org/0000-0002-5211-112X
Goetz Graefe (HP Labs),Goetz,Graefe,HP Labs,,Member Review Board,United States,
"Torsten Grust (Universität Tübingen, Germany)",Torsten,Grust,University of Tübingen,,Member Review Board,Germany,
