Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Alberto Laender (Universidade Federal de Minas Gerais - UFMG),Alberto,Laender,Federal University of Minas Gerais,Belo Horizonte,General Conference Chairs,Brazil,https://orcid.org/0000-0001-5032-2233
Fabio Porto (Laboratório Nacional de Computação Científica - LNCC),Fábio,Porto,National Laboratory for Scientific Computing,?,General Conference Chairs,Brazil,
Marco Antonio Casanova (Pontifícia Universidade Católica do Rio de Janeiro - PUC Rio),Marco Antonio,Casanova,Pontifical Catholic University of Rio de Janeiro,Rio de Janeiro,General Conference Chairs,Brazil,https://orcid.org/0000-0003-0765-9636
Antonio Furtado (Pontifícia Universidade Católica do Rio de Janeiro - PUC Rio),Antonio,Furtado,Pontifical Catholic University of Rio de Janeiro,Rio de Janeiro,Honorary Chairs,Brazil,
Nivio Ziviani (Universidade Federal de Minas Gerais - UFMG),Nivio,Ziviani,Federal University of Minas Gerais,Belo Horizonte,Honorary Chairs,Brazil,https://orcid.org/0000-0002-7079-2010
Adolfo Simões (Laboratório Nacional de Computação Científica - LNCC),Adolfo,Simões,National Laboratory for Scientific Computing,?,Organization Committee Chairs,Brazil,
Artur Ziviani (Laboratório Nacional de Computação Científica - LNCC),Artur,Ziviani,National Laboratory for Scientific Computing,?,Organization Committee Chairs,Brazil,https://orcid.org/0000-0001-9326-8214
Daniel De Oliveira (Universidade Federal Fluminense - UFF),Daniel De,Oliveira,Fluminense Federal University,Niterói,Organization Committee Chairs,Brazil,
Fabio Porto (Laboratório Nacional de Computação Científica - LNCC),Fábio,Porto,National Laboratory for Scientific Computing,?,Organization Committee Chairs,Brazil,
Jian Pei (Simon Fraser University),Jian,Pei,Simon Fraser University,Vancouver,Program Committee Chairs,Canada,
"Sihem Amer-Yahia (University of Grenoble Alpes, CNRS)",Sihem,Amer-Yahia,Grenoble Alpes University,,Program Committee Chairs,France,
Douglas Innocente (FACC),Douglas,Innocente,FACC,,Treasury Chairs,Brazil,
Carolina Cavaignac (FACC),Carolina,Cavaignac,FACC,,Treasury Chairs,Brazil,
Divesh Srivastava (AT&T),Divesh,Srivastava,AT&T Labs,?,VLDB Endowment Representative,United States,https://orcid.org/0000-0002-7609-9217
Artur Ziviani (LNCC),Artur,Ziviani,National Laboratory for Scientific Computing,?,Sponsorship Committee Chairs,Brazil,https://orcid.org/0000-0001-9326-8214
Anand Deshpande (Persistent),Anand,Deshpande,Persistent Systems,Pune,Sponsorship Committee Chairs,India,
José Antônio F. de Macedo (UFC),José Antônio F.,de Macedo,Federal University of Ceará,Fortaleza,Sponsorship Committee Chairs,Brazil,
"Mike Carey (University of California, Irvine - UCI)",Mike,Carey,University of California,Irvine,Sponsorship Committee Chairs,United States,
Patrick Valduriez (INRIA),Patrick,Valduriez,INRIA,Sophia Antipolis,Sponsorship Committee Chairs,France,https://orcid.org/0000-0001-6506-7538
Carmem Hara (Universidade Federal do Paraná - UFPR),Carmem,Hara,Federal University of Paraná,Curitiba,Publicity Committee Chairs,Brazil,
Mahashweta Das (Visa Research),Mahashweta,Das,Visa Research,Palo Alto,Publicity Committee Chairs,United States,
Nick Koudas (University of Toronto),Nick,Koudas,University of Toronto,Toronto,Tutorial Chairs,Canada,
Sergio Lifschitz (Pontifícia Universidade Católica do Rio de Janeiro - PUC Rio),Sergio,Lifschitz,Pontifical Catholic University of Rio de Janeiro,Rio de Janeiro,Tutorial Chairs,Brazil,https://orcid.org/0000-0003-3073-3734
Cong Yu (Google),Cong,Yu,Google Research,New York City,Industrial Chairs,United States,
Alan Halverson (Microsoft),Alan,Halverson,Microsoft Research,Gray Systems Lab,Industrial Chairs,United States,
Rakesh Agrawal (Data Insight Laboratories),Rakesh,Agrawal,Data Insight Laboratories,San Jose,Industrial Chairs,United States,
Ming Hua (Facebook),Ming,Hua,Facebook,Menlo Park,Demo Chairs,United States,
Vanessa Braganholo (Univiversidade Federal Fluminense - UFF),Vanessa,Braganholo,Fluminense Federal University,Niterói,Demo Chairs,Brazil,https://orcid.org/0000-0002-1184-8192
Letizia Tanca (Politecnico di Milano),Letizia,Tanca,Polytechnic University of Milan,Milano,Panel Chairs,Italy,https://orcid.org/0000-0003-2607-3171
Mario Nascimento (Univ. Alberta),Mario A.,Nascimento,University of Alberta,Edmonton,Panel Chairs,Canada,
Mirella Moro (Universidade Federal Minas Gerais - UFMG),Mirella Moura,Moro,Federal University of Minas Gerais,Belo Horizonte,Workshop Chairs,Brazil,https://orcid.org/0000-0002-0545-2001
"Xuemin Lin, (University of New South Wales - UNSW)",Xuemin,"Lin,",University of New South Wales,Sydney,Workshop Chairs,Australia,
Altigran Silva (Universidade Federal do Amazonas - UFAM),Altigran,Silva,Federal University of Amazonas,Manaus,PhD Workshop Chairs,Brazil,https://orcid.org/0000-0002-8992-495X
Senjuti Basu Roy (New Jersey Institute of Technology - NJIT),Senjuti Basu,Roy,New Jersey Institute of Technology,Newark,PhD Workshop Chairs,United States,
Ricardo Torres (Universidade Estadual de Campinas - UNICAMP),Ricardo,Torres,University of Campinas,Campinas,Proceedings Chairs,Brazil,
Sourav Bhowmick (Nanyang Technological University),Sourav S.,Bhowmick,Nanyang Technological University,Singapore,Proceedings Chairs,Singapore,
Daniel De Oliveira (Universidade Federal Fluminense - UFF),Daniel De,Oliveira,Fluminense Federal University,Niterói,Website,Brazil,
Enver Anibal Choque Cayo (Laboratório Nacional de Computação Científica - LNCC),Enver Anibal Choque,Cayo,National Laboratory for Scientific Computing,?,Website,Brazil,
Raquel L. Costa (Instituto Nacional do Câncer - INCA),Raquel L.,Costa,Brazilian National Cancer Institute,,Volunteers Coordinators,Brazil,
João Eduardo Ferreira (Universidade de São Paulo - USP),João Eduardo,Ferreira,University of São Paulo,São Paulo,Student Grant Coordinators,Brazil,https://orcid.org/0000-0001-9607-2014
Amr El Abbadi (University of California Santa Barbara),Amr El,Abbadi,University of California,Santa Barbara,PhD Workshop PC Members,United States,https://orcid.org/0000-0003-4692-3268
Anastasia Ailamaki (École Polytechnique Fédérale de Lausanne),Anastasia,Ailamaki,École polytechnique fédérale de Lausanne,Lausanne,PhD Workshop PC Members,Switzerland,
Andrea Cali (Birkbeck University of London),Andrea,Cali,Birkbeck University of London,London,PhD Workshop PC Members,United Kingdom,
Eduardo Cunha de Almeida (UFPR),Eduardo Cunha de,Almeida,Federal University of Paraná,Curitiba,PhD Workshop PC Members,Brazil,https://orcid.org/0000-0002-6644-956X
Georg Gottlob (Oxford University),Georg,Gottlob,Oxford University,Oxford,PhD Workshop PC Members,United Kingdom,https://orcid.org/0000-0002-2353-5230
Ioana Manolescu (Inria Saclay),Ioana,Manolescu,INRIA,Saclay,PhD Workshop PC Members,France,https://orcid.org/0000-0002-0425-2462
Irini Fundulaki (Foundation for Research and Technology - Hellas),Irini,Fundulaki,Foundation for Research and Technology,Hellas,PhD Workshop PC Members,Greece,
José Antônio Macêdo (Universidade Federal do Ceará),José Antônio,Macêdo,Federal University of Ceará,Fortaleza,PhD Workshop PC Members,Brazil,
Maria-Esther Vidal (Leibniz Information Centre and Univ. Simon Bolivar),Maria-Esther,Vidal,Simón Bolívar University,Sartenejas,PhD Workshop PC Members,Venezuela,https://orcid.org/0000-0003-1160-8727
Mariano Consens (University of Toronto),Mariano,Consens,University of Toronto,Toronto,PhD Workshop PC Members,Canada,
Ricardo Torres (Universidade Estadual de Campinas),Ricardo,Torres,University of Campinas,Campinas,PhD Workshop PC Members,Brazil,
Viviane Moreira (Universidade Federal do Rio Grande do Sul),Viviane,Moreira,Federal University of Rio Grande do Sul,Porto Alegre ,PhD Workshop PC Members,Brazil,https://orcid.org/0000-0003-4400-054X
Wenfei Fan (University of Edinburgh),Wenfei,Fan,University of Edinburgh,Edinburgh,PhD Workshop PC Members,United Kingdom,https://orcid.org/0000-0001-5149-2656
"Albert Weichselbraun, University of Applied Sciences Chur, Switzerland",Albert,Weichselbraun,University of Applied Sciences HTW Chur,,Demo Track PC Members,Switzerland,https://orcid.org/0000-0001-6399-045X
"Ashish Sureka, Ashoka University, India",Ashish,Sureka,Ashoka University,,Demo Track PC Members,India,https://orcid.org/0000-0001-6084-9661
"Bertram Ludaescher, UC Davis, USA",Bertram,Ludaescher,University of California,Davis,Demo Track PC Members,United States,https://orcid.org/0000-0001-9140-936X
"Bin Jiang, UBER, USA",Bin,Jiang,Uber,,Demo Track PC Members,United States,
"Bingsheng He, National University of Singapore, Singapore",Bingsheng,He,National University of Singapore,,Demo Track PC Members,Singapore,
"Boris Glavic, IIT Chicago, USA",Boris,Glavic,Illinois Institute of Technology,Chicago,Demo Track PC Members,United States,https://orcid.org/0000-0003-2887-2452
"Carmem Hara, Universidade Federal do Paraná, Brazil",Carmem,Hara,Federal University of Paraná,Curitiba,Demo Track PC Members,Brazil,
"Christos H. Makris, University of Patras, Greece",Christos H.,Makris,University of Patras,Patras,Demo Track PC Members,Greece,
"Daniel de Oliveira, Universidade Federal Fluminense, Brazil",Daniel de,Oliveira,Fluminense Federal University,Niterói,Demo Track PC Members,Brazil,
"Daning Hu, University of Zurich, Switzerland",Daning,Hu,University of Zurich,Zurich,Demo Track PC Members,Switzerland,
"Dmitri V. Kalashnikov, AT&T Labs Research, USA",Dmitri V.,Kalashnikov,AT&T Labs,?,Demo Track PC Members,United States,
"Eduardo Ogasawara, CEFET-RJ, Brazil",Eduardo,Ogasawara,Federal Center for Technological Education of Minas Gerais,,Demo Track PC Members,Brazil,https://orcid.org/0000-0002-0466-0626
"Eli Cortez, Microsoft, USA",Eli,Cortez,Microsoft Research,Redmond,Demo Track PC Members,United States,
"Eric Lo, Chinese University of Hong Kong, Hong Kong",Eric,Lo,Chinese University of Hong Kong,Hong Kong,Demo Track PC Members,China,
"Fei Chiang, McMaster University, Canada",Fei,Chiang,McMaster University,Hamilton,Demo Track PC Members,Canada,
"Felix Martin Schuhknecht, Saarland University, Germany",Felix Martin,Schuhknecht,Saarland University,Saarbrücken,Demo Track PC Members,Germany,https://orcid.org/0000-0002-0165-4116
"Flavius Frasincar, Erasmus University Rotterdam, Netherlands",Flavius,Frasincar,Erasmus University Rotterdam,Rotterdam,Demo Track PC Members,Netherlands,https://orcid.org/0000-0002-8031-758X
"Flip Korn, Google, USA",Flip,Korn,Google Research,New York City,Demo Track PC Members,United States,
"Georgia Koutrika, Athena Research Center, Greece",Georgia,Koutrika,Athena Research Center,Athens,Demo Track PC Members,Greece,
"Gerome Miklau, UMass Amherst, USA",Gerome,Miklau,University of Massachusetts,Amherst,Demo Track PC Members,United States,
"Guoliang Li, Tsinghua University, China",Guoliang,Li,Tsinghua University,Bejing,Demo Track PC Members,China,
"Harald Kosch, University Passau, Germany",Harald,Kosch,University of Passau,Passau,Demo Track PC Members,Germany,https://orcid.org/0000-0002-7090-1133
"Huy Vo, City College of New York, USA",Huy,Vo,City College of New York,New York,Demo Track PC Members,United States,
"Jason Jung, Chung-Ang University, South Korea",Jason,Jung,Chung-Ang University,Seoul,Demo Track PC Members,South Korea,https://orcid.org/0000-0003-0050-7445
"Jiannan Wang, Simon Fraser University, Canada",Jiannan,Wang,Simon Fraser University,Vancouver,Demo Track PC Members,Canada,
"Jitao Sang, Beijing Jiaotong University, China",Jitao,Sang,Beijing Jiaotong University,Beijing,Demo Track PC Members,China,https://orcid.org/0000-0002-0699-3205
"João Eduardo Ferreira, USP, Brazil",João Eduardo,Ferreira,University of São Paulo,São Paulo,Demo Track PC Members,Brazil,https://orcid.org/0000-0001-9607-2014
"Johann Gamper, Free University of Bozen-Bolzano, Italy",Johann,Gamper,Free University of Bozen-Bolzano,Bolzano,Demo Track PC Members,Italy,https://orcid.org/0000-0002-7128-507X
"Jorge Quiane Ruiz, Qatar Computing Research Institute, Qatar",Jorge Quiane,Ruiz,Qatar Computing Research Institute,Doha,Demo Track PC Members,Qatar,
"Katja Hose, Aalborg University, Denmark",Katja,Hose,Aalborg University,Aalborg,Demo Track PC Members,Denmark,https://orcid.org/0000-0001-7025-8099
"Kyriakos Mouratidis, Singapore Management University, Singapore",Kyriakos,Mouratidis,Singapore Management University,Singapore,Demo Track PC Members,Singapore,https://orcid.org/0000-0002-8835-430X
"Leon Zhao, City University of Hong Kong, China",Leon,Zhao,City University of Hong Kong,Hong Kong,Demo Track PC Members,Hong Kong SAR,
"Leong Hou U, University of Macau, Macau",Leong Hou,U,University of Macau,Zhuhai,Demo Track PC Members,Macau SAR,
"Luciano Barbosa, Universidade Federal de Pernambuco, Brazil",Luciano,Barbosa,Federal University of Pernambuco,Recife,Demo Track PC Members,Brazil,
"Maya Ramanath, IIT Delhi, India",Maya,Ramanath,Indian Institute of Technology,Delhi,Demo Track PC Members,India,https://orcid.org/0000-0002-5413-5686
"Medha Atre, Indian Institute of Technology, Kanpur, India",Medha,Atre,Indian Institute of Technology,Kanpur,Demo Track PC Members,India,
"Michael Fire, University of Washington, USA",Michael,Fire,University of Washington,Seattle,Demo Track PC Members,United States,
"Mirella Moro, Universidade Federal de Minas Gerais, Brazil",Mirella Moura,Moro,Federal University of Minas Gerais,Belo Horizonte,Demo Track PC Members,Brazil,https://orcid.org/0000-0002-0545-2001
"Paolo Merialdo, Università Roma Tre, Italy",Paolo,Merialdo,Roma Tre University,Rom,Demo Track PC Members,Italy,https://orcid.org/0000-0002-3852-8092
"Paolo Missier, Newcastle University, United Kingdom",Paolo,Missier,Newcastle University,Newcastle upon Tyne,Demo Track PC Members,United Kingdom,https://orcid.org/0000-0002-0978-2446
"Paulo Cortez, University of Minho, Portugal",Paulo,Cortez,University of Minho,,Demo Track PC Members,Portugal,
"Rachel Pottinger, University of British Columbia, Canada",Rachel,Pottinger,University of British Columbia,Vancouver,Demo Track PC Members,Canada,
"Ricardo Torres, UNICAMP, Brazil",Ricardo,Torres,University of Campinas,Campinas,Demo Track PC Members,Brazil,
"Sai Wu, Zhejiang University, China",Sai,Wu,Zhejiang University,Hangzhou,Demo Track PC Members,China,
"Sairam Gurajada, IBM Research, Almaden, USA",Sairam,Gurajada,IBM Research,Almaden,Demo Track PC Members,United States,
"Shuai Ma, Beihang University, China",Shuai,Ma,Beihang University,Bejing,Demo Track PC Members,China,
"Srikanta Bedathur, IBM India Research Lab, India",Srikanta,Bedathur,IBM Research,India,Demo Track PC Members,India,https://orcid.org/0000-0002-3949-2175
"Sudipto Das, Microsoft Research, USA",Sudipto,Das,Microsoft Research,Redmond,Demo Track PC Members,United States,
"Thomas Heinis, Imperial College, United Kingdom",Thomas,Heinis,Imperial College London,London,Demo Track PC Members,United Kingdom,https://orcid.org/0000-0002-7470-2123
"Valéria Times, Universidade Federal de Pernambuco, Brazil",Valéria,Times,Federal University of Pernambuco,Recife,Demo Track PC Members,Brazil,
"Verena Kantere, National Technical University of Athens, Greece",Verena,Kantere,National Technical University of Athens,Athens,Demo Track PC Members,Greece,
"Wenchao Zhou, Georgetown University, USA",Wenchao,Zhou,Georgetown University,Washington D.C.,Demo Track PC Members,United States,https://orcid.org/0000-0002-7756-1418
"Xiao Wu, Southewst Jiaotong University, China",Xiao,Wu,Southwest Jiaotong University,Chengdu,Demo Track PC Members,China,
"Xiaochun Yang, Northeastern University, China",Xiaochun,Yang,"Northeastern University, China",Shenyang,Demo Track PC Members,China,
"Xike Xie, University of Science and Technology of China, China",Xike,Xie,University of Science and Technology of China,Hefei,Demo Track PC Members,China,https://orcid.org/0000-0001-5290-5408
"Yanif Ahmad, Johns Hopkins University, USA",Yanif,Ahmad,Johns Hopkins University,Baltimore,Demo Track PC Members,United States,
"Yannis Katsis, UC San Diego, USA",Yannis,Katsis,University of California,San Diego,Demo Track PC Members,United States,
"Yannis Papakonstantinou, UC San Diego, USA",Yannis,Papakonstantinou,University of California,San Diego,Demo Track PC Members,United States,
"Yi Chen, New Jersey Institute of Technology, USA",Yi,Chen,New Jersey Institute of Technology,Newark,Demo Track PC Members,United States,
