Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
H. V. Jagadish,H. V.,Jagadish,University of Michigan,,Editor in Chief,United States,https://orcid.org/0000-0003-0724-5214
Aoying Zhou,Aoying,Zhou,East China Normal University,,Editor in Chief,China,
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Managing Editor,United States,
Philip Bernstein,Philip A.,Bernstein,Microsoft Research,,Member Advisory Board,United States,
Michael Böhlen,Michael H.,Böhlen,University of Zurich,,Member Advisory Board,Switzerland,https://orcid.org/0000-0003-3694-9026
Peter Buneman,Peter,Buneman,University of Edinburgh,,Member Advisory Board,United Kingdom,
Susan Davidson,Susan,Davidson,University of Pennsylvania,,Member Advisory Board,United States,
Z. Meral Ozsoyoglu,Z. Meral,Ozsoyoglu,Case Western Reserve University,,Member Advisory Board,United States,
S. Sudarshan,S.,Sudarshan,Indian Institute of Technology,Bombay,Member Advisory Board,India,
Gerhard Weikum,Gerhard,Weikum,Max Planck Institute,Saarbrücken,Member Advisory Board,Germany,
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Member Advisory Board,United States,
Shivnath Babu,Shivnath,Babu,Duke University,,Associate Editor,United States,
Lei Chen,Lei,Chen,Hong Kong University of Science and Technology,,Associate Editor,Hong Kong SAR,
Graham Cormode,Graham,Cormode,University of Warwick,,Associate Editor,United Kingdom,https://orcid.org/0000-0002-0698-0922
Bin Cui,Bin,Cui,Peking University,,Associate Editor,China,
Wynne Hsu,Wynne,Hsu,National University of Singapore,,Associate Editor,Singapore,https://orcid.org/0000-0002-4142-8893
Martin Kersten,Martin,Kersten,Centrum Wiskunde & Informatica,,Associate Editor,Netherlands,
Donald Kossmann,Donald,Kossmann,ETH Zurich,,Associate Editor,Switzerland,
Elke Rundensteiner,Elke,Rundensteiner,Worcester Polytechnic Institute,,Associate Editor,United States,
Kyuseok Shim,Kyuseok,Shim,Seoul National University,,Associate Editor,South Korea,
