Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Michael Böhlen,Michael H.,Böhlen,University of Zurich,,Editor in Chief,Switzerland,https://orcid.org/0000-0003-3694-9026
Christoph Koch,Christoph,Koch,École polytechnique fédérale de Lausanne,,Editor in Chief,Switzerland,
H. V. Jagadish,H. V.,Jagadish,University of Michigan,,Founding Editor in Chief,United States,https://orcid.org/0000-0003-0724-5214
Philip Bernstein,Philip A.,Bernstein,Microsoft Research,,Member Advisory Board,United States,
Michael Böhlen,Michael H.,Böhlen,University of Zurich,,Member Advisory Board,Switzerland,https://orcid.org/0000-0003-3694-9026
Peter Buneman,Peter,Buneman,University of Edinburgh,,Member Advisory Board,United Kingdom,
Susan Davidson,Susan,Davidson,University of Pennsylvania,,Member Advisory Board,United States,
Z. Meral Ozsoyoglu,Z. Meral,Özsoyoglu,Case Western Reserve University,,Member Advisory Board,United States,
S. Sudarshan,S.,Sudarshan,Indian Institute of Technology,Bombay,Member Advisory Board,India,
Gerhard Weikum,Gerhard,Weikum,Max Planck Institute,Saarbrücken,Member Advisory Board,Germany,
Ashraf Aboulnaga,Ashraf,Aboulnaga,Qatar Computing Research Institute,,Associate Editor,Qatar,
Sihem Amer-Yahia,Sihem,Amer-Yahia,Laboratoire d'Informatique de Grenoble,Grenoble,Associate Editor,France,
Chee Yong Chan,Chee Yong,Chan,National University of Singapore,,Associate Editor,Singapore,
Yanlei Diao,Yanlei,Diao,University of Massachusetts,Amherst,Associate Editor,United States,
Ada Wai-Chee Fu,Ada Wai-Chee,Fu,Chinese University of Hong Kong,,Associate Editor,Hong Kong SAR,
Johannes Gehrke,Johannes,Gehrke,Microsoft Research,,Associate Editor,United States,
Alon Halevy,Alon,Halevy,Facebook,,Associate Editor,United States,
Jayant Haritsa,Jayant,Haritsa,Indian Institute of Science,Bangalore,Associate Editor,India,
Nikos Mamoulis,Nikos,Mamoulis,University of Hong Kong,,Associate Editor,Hong Kong SAR,https://orcid.org/0000-0003-3423-4895
Thomas Neumann,Thomas,Neumann,Technical University of Munich,,Associate Editor,Germany,
Dan Olteanu,Dan,Olteanu,University of Oxford,,Associate Editor,United Kingdom,
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Associate Editor,United States,
Jens Teubner,Jens,Teubner,Technical University of Dortmund,,Associate Editor,Germany,https://orcid.org/0000-0002-0344-5203
Stefan Manegold,Stefan,Manegold,Centrum Wiskunde & Informatica,,Associate Editor,Netherlands,
Peer Kröger,Peer,Kröger,Ludwig Maximilian University of Munich,,Publication Editor,Germany,
Stratis D. Viglas,Stratis,Viglas,University of Edinburgh,,Publication Editor,United Kingdom,
Gerald Weber,Gerald,Weber,University of Auckland,,Information Director,New Zealand,https://orcid.org/0000-0002-2935-1571
Karl Aberer (EPFL),Karl,Aberer,École polytechnique fédérale de Lausanne,,Member Review Board,Switzerland,
Ashraf Aboulnaga (University of Waterloo),Ashraf,Aboulnaga,University of Waterloo,,Member Review Board,United States,
Yanif Ahmad (Johns Hopkins University),Yanif,Ahmad,Johns Hopkins University,,Member Review Board,United States,
Shivnath Babu (Duke University),Shivnath,Babu,Duke University,,Member Review Board,United States,
Magdalena Balazinska (University of Washington),Magdalena,Balazinska,University of Washington,,Member Review Board,United States,
Elisa Bertino (Purdue University),Elisa,Bertino,Purdue University,,Member Review Board,United States,https://orcid.org/0000-0002-4029-7051
Claudio Bettini (University of Milano),Claudio,Bettini,University of Milan,,Member Review Board,Italy,https://orcid.org/0000-0002-1727-7650
Sourav Bhowmick (Nayang Technological University),Sourav S.,Bhowmick,Nanyang Technological University,Singapore,Member Review Board,Singapore,
Angela Bonifati (Icar-CNR),Angela,Bonifati,University of Lille 1 Sciences and Technology,,Member Review Board,France,https://orcid.org/0000-0002-9582-869X
Randal Burns (Johns Hopkins University),Randal,Burns,Johns Hopkins University,,Member Review Board,United States,
Michael Cafarella (Michigan),Michael J.,Cafarella,University of Michigan,,Member Review Board,United States,
Kevin Chang (Univ. of Illinois at Urbana-Champaign),Kevin,Chang,University of Illinois,Urbana-Champaign,Member Review Board,United States,
Gang Chen (Zhejiang University),Gang,Chen,Zhejiang University,,Member Review Board,China,
Lei Chen (Hong Kong University of SaT),Lei,Chen,Hong Kong University of Science and Technology,,Member Review Board,Hong Kong SAR,
Reynold Cheng (University of Hong Kong),Reynold,Cheng,University of Hong Kong,,Member Review Board,Hong Kong SAR,https://orcid.org/0000-0002-9480-9809
Jan Chomicki (University of Buffalo),Jan,Chomicki,State University of New York,Buffalo,Member Review Board,United States,https://orcid.org/0000-0002-5030-1544
Chris Clifton (Purdue University),Chris,Clifton,Purdue University,,Member Review Board,United States,https://orcid.org/0000-0001-7274-1471
Gao Cong (Nayang Technological University),Gao,Cong,Nanyang Technological University,Singapore,Member Review Board,Singapore,
Brian Cooper (Google),Brian,Cooper,Google,Mountain View,Member Review Board,United States,
Graham Cormode (AT&T),Graham,Cormode,AT&T Labs,,Member Review Board,United States,https://orcid.org/0000-0002-0698-0922
Bin Cui (Peking University),Bin,Cui,Peking University,,Member Review Board,China,
Carlo Curino (MIT),Carlo,Curino,Massachusetts Institute of Technology,,Member Review Board,United States,
Anish Das Sharma (Yahoo),Anish Das,Sharma,Yahoo,,Member Review Board,United States,
Antonios Deligiannakis (Technical University of Crete),Antonios,Deligiannakis,Technical University of Crete,,Member Review Board,Greece,
Amr El Abbadi (UC Santa Barbara),Amr El,Abbadi,University of California,Santa Barbara,Member Review Board,United States,https://orcid.org/0000-0003-4692-3268
Alan Fekete (University of Sydney),Alan,Fekete,University of Sydney,,Member Review Board,Australia,
Hakan Ferhatosmano?lu (Ohio State University),Hakan,Ferhatosmanoglu,Ohio State University,,Member Review Board,United States,
Alvaro Fernandes (University of Manchester),Alvaro,Fernandes,University of Manchester,,Member Review Board,United Kingdom,
Johann-Christoph Freytag (Humboldt-Universit?t zu Berlin),Johann-Christoph,Freytag,Humboldt University of Berlin,,Member Review Board,Germany,
Minos Garofalakis (TU Creta),Minos,Garofalakis,Technical University of Crete,,Member Review Board,Greece,
Bugra Gedik (IBM Watson),Bugra,Gedik,IBM Research,Watson Research Center,Member Review Board,United States,https://orcid.org/0000-0002-0622-1141
Gabriel Ghinita (Purdue University),Gabriel,Ghinita,Purdue University,,Member Review Board,United States,https://orcid.org/0000-0002-8372-3006
Goetz Graefe (HP),Goetz,Graefe,HP Labs,,Member Review Board,United States,
Sergio Greco (University of Calabria),Sergio,Greco,University of Calabria,,Member Review Board,Italy,
Todd Green (University of California),Todd,Green,University of California,Davis,Member Review Board,United States,
Le Gruenwald (University of Oklahoma),Le,Gruenwald,University of Oklahoma,,Member Review Board,United States,
Haryadi Gunawi (University of California),Haryadi,Gunawi,University of California,Berkeley,Member Review Board,United States,
Rahul Gupta (IIT Bombay),Rahul,Gupta,Indian Institute of Technology,Bombay,Member Review Board,India,
Stavros Harizopoulos (HP),Stavros,Harizopoulos,HP Labs,,Member Review Board,United States,
Howard Ho (IBM),Howard,Ho,IBM Research,Almaden,Member Review Board,United States,
Vagelis Hristidis (Florida International University),Vagelis,Hristidis,Florida International University,,Member Review Board,United States,https://orcid.org/0000-0001-8679-4988
Meichun Hsu (HP),Meichun,Hsu,HP Labs,,Member Review Board,United States,
Jeong-Hyon Hwang (SUNY),Jeong-Hyon,Hwang,State University of New York,Albany,Member Review Board,United States,
Ihab Ilyas (University of Waterloo),Ihab F.,Ilyas,University of Waterloo,,Member Review Board,United States,https://orcid.org/0000-0001-9052-9714
Zachary Ives (University of Pennsylvania),Zachary G.,Ives,University of Pennsylvania,,Member Review Board,United States,
Dean Jacobs (SAP),Dean,Jacobs,SAP,,Member Review Board,Germany,
Hans-Arno Jacobsen (University of Toronto),Hans-Arno,Jacobsen,University of Toronto,,Member Review Board,Canada,https://orcid.org/0000-0003-0813-0101
Christian Jensen (Aalborg University),Christian S.,Jensen,Aalborg University,,Member Review Board,Denmark,
Chris Jermaine (Rice University),Chris,Jermaine,Rice University,,Member Review Board,United States,
Ricardo Jumenez-Peris (Technical University of Madrid),Ricardo,Jimenez-Peris,Technical University of Madrid,,Member Review Board,Spain,
Theodore Johnson (AT&T),Theodore,Johnson,AT&T Labs,,Member Review Board,United States,
Vana Kalogeraki (Athens U of Econ. and Business),Vana,Kalogeraki,Athens University of Economics and Business,,Member Review Board,Greece,
