Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Juliana Freire,Juliana,Freire,New York University,New York City,Editor in Chief,United States,https://orcid.org/0000-0003-3915-7075
Xuemin Lin,Xuemin,Lin,University of New South Wales,Sydney,Editor in Chief,Australia,
Xin Cao,Xin,Cao,University of New South Wales,Sydney,Publication Editor,Australia,
Lijun Chang,Lijun,Chang,University of Sydney,Sydney,Publication Editor,Australia,
"Wolfgang Lehner (TU Dresden, Germany)",Wolfgang,Lehner,Technical University of Dresden,Dresden,Managing Editor,Germany,https://orcid.org/0000-0001-8107-2775
Divesh Srivastava (AT&T Labs-Research),Divesh,Srivastava,AT&T Labs,?,Member Advisory Board,United States,https://orcid.org/0000-0002-7609-9217
M. Tamer Özsu (University of Waterloo),M. Tamer,Özsu,University of Waterloo,Waterloo,Member Advisory Board,Canada,https://orcid.org/0000-0002-8126-1717
Juliana Freire (New York University),Juliana,Freire,New York University,New York City,Member Advisory Board,United States,https://orcid.org/0000-0003-3915-7075
Xin Luna Dong (Amazon),Xin Luna,Dong,Amazon,Seattle,Member Advisory Board,United States,
Peter Boncz (CWI),Peter,Boncz,Centrum Wiskunde & Informatica,Amsterdam,Member Advisory Board,Netherlands,
Lei Chen (Hong Kong University of Science and Technology),Lei,Chen,Hong Kong University of Science and Technology,Hong Kong,Member Advisory Board,Hong Kong SAR,
Graham Cormode (University of Warwick),Graham,Cormode,University of Warwick,Coventry,Member Advisory Board,United Kingdom,https://orcid.org/0000-0002-0698-0922
Xiaofang Zhou (University of Queensland),Xiaofang,Zhou,University of Queensland,Brisbane,Member Advisory Board,Australia,
Fatma Ozcan (IBM Almaden),Fatma,Ozcan,IBM Research,Almaden,Member Advisory Board,United States,
Felix Naumann (Hasso Plattner Institute),Felix,Naumann,Hasso Plattner Institute,Potsdam,Member Advisory Board,Germany,https://orcid.org/0000-0002-4483-1389
Peter Triantafillou (University of Warwick),Peter,Triantafillou,University of Warwick,Coventry,Member Advisory Board,United Kingdom,https://orcid.org/0000-0002-5807-6011
Arun Kumar,Arun,Kumar,University of California,San Diego,Associate Editor,United States,
Azza Abouzied,Azza,Abouzied,New York University,? Abu Dhabi (and New York),Associate Editor,United Arab Emirates,
Beng Chin Ooi,Beng Chin,Ooi,National University of Singapore,Singapore,Associate Editor,Singapore,https://orcid.org/0000-0003-4446-1100
Boris Glavic,Boris,Glavic,Illinois Institute of Technology,Chicago,Associate Editor,United States,https://orcid.org/0000-0003-2887-2452
Dan Suciu,Dan,Suciu,University of Washington,Seattle,Associate Editor,United States,
Divyakant Agrawal,Divyakant,Agrawal,University of California,Santa Barbara,Associate Editor,United States,https://orcid.org/0000-0002-0215-9539
Eugene Wu,Eugene,Wu,Columbia University,New York City,Associate Editor,United States,
Fatma Ozcan,Fatma,Ozcan,IBM Research,Almaden,Associate Editor,United States,
Georgia Koutrika,Georgia,Koutrika,Athena Research Center,Athens,Associate Editor,Greece,
Jeffrey Xu Yu,Jeffrey Xu,Yu,Chinese University of Hong Kong,Hong Kong,Associate Editor,China,https://orcid.org/0000-0002-9738-827X
Julia Stoyanovich,Julia,Stoyanovich,Drexel University,Philadelphia,Associate Editor,United States,
Jun Yang,Jun,Yang,Duke University,Durham,Associate Editor,United States,
K. Selcuk Candan,K. Selçuk,Candan,Arizona State University,Tempe,Associate Editor,United States,https://orcid.org/0000-0003-4977-6646
Khuzaima Daudjee,Khuzaima,Daudjee,University of Waterloo,Waterloo,Associate Editor,Canada,
Laure Berti-Equille,Laure,Berti-Equille,French Institute of Research for Development,Marseille,Associate Editor,France,https://orcid.org/0000-0002-8046-0570
Lei Chen,Lei,Chen,Hong Kong University of Science and Technology,Hong Kong,Associate Editor,Hong Kong SAR,
Mohamed Mokbel,Mohamed F.,Mokbel,Qatar Computing Research Institute,Doha,Associate Editor,Qatar,https://orcid.org/0000-0002-6686-1757
Neoklis Polyzotis,Neoklis,Polyzotis,Google,Mountain View,Associate Editor,United States,https://orcid.org/0000-0002-2694-8591
Papotti Paolo,Paolo,Papotti,EURECOM,Antibes,Associate Editor,France,https://orcid.org/0000-0003-0651-4128
Peter Boncz,Peter,Boncz,Centrum Wiskunde & Informatica,Amsterdam,Associate Editor,Netherlands,
Sebastian Schelter,Sebastian,Schelter,University of Amsterdam,Amsterdam,Associate Editor,Netherlands,
Sourav S Bhowmick,Sourav S.,Bhowmick,Nanyang Technological University,Singapore,Associate Editor,Singapore,
Surajit Chaudhuri,Surajit,Chaudhuri,Microsoft Research,Redmond,Associate Editor,United States,
Themis Palpanas,Themis,Palpanas,University of Paris,Paris,Associate Editor,France,https://orcid.org/0000-0002-8031-0265
Vanessa Braganholo,Vanessa,Braganholo,Fluminense Federal University,Niterói,Associate Editor,Brazil,https://orcid.org/0000-0002-1184-8192
Wang-Chiew Tan,Wang-Chiew,Tan,Facebook,AI,Associate Editor,United States,
Wenjie Zhang,Wenjie,Zhang,University of New South Wales,Sydney,Associate Editor,Australia,
Wook-Shin Han,Wook-Shin,Han,Pohang University of Science and Technology,Pohang,Associate Editor,South Korea,
Xiaofang Zhou,Xiaofang,Zhou,University of Queensland,Brisbane,Associate Editor,Australia,
Abolfazl Asudeh (University of Michifan),Abolfazl,Asudeh,University of Michigan,,Member Review Board,United States,https://orcid.org/0000-0002-5251-6186
Aécio Santos (NYU),Aécio,Santos,New York University,New York City,Member Review Board,United States,
"Ahmed Eldawy (University of California, Riverside)",Ahmed,Eldawy,University of California,Riverside,Member Review Board,United States,
Alexander Hall,Alexander,Hall,?,?,Member Review Board,?,
Alexander J Ratner (University of Washington),Alexander J,Ratner,University of Washington,Seattle,Member Review Board,United States,
Aline Bessa (New York University),Aline,Bessa,New York University,New York City,Member Review Board,United States,
Alkis Simitsis,Alkis,Simitsis,HP Labs,Palo Alto,Member Review Board,United States,
Altigran da Silva (Universidade Federal do Amazonas),Altigran da,Silva,Federal University of Amazonas,Manaus,Member Review Board,Brazil,https://orcid.org/0000-0002-8992-495X
AnHai Doan (University of Wisconsin-Madison),AnHai,Doan,University of Wisconsin,Madison,Member Review Board,United States,
Anna Fariha (University of Massachusetts Amherst),Anna,Fariha,University of Massachusetts,Amherst,Member Review Board,United States,
Anton Dignös (Free University of Bozen-Bolzano),Anton,Dignös,Free University of Bozen-Bolzano,Bolzano,Member Review Board,Italy,https://orcid.org/0000-0002-7621-967X
Arijit Khan (Nanyang Technological University),Arijit,Khan,Nanyang Technological University,Singapore,Member Review Board,Singapore,https://orcid.org/0000-0002-7312-6312
"Babak Salimi (University of California, San Diego)",Babak,Salimi,University of California,San Diego,Member Review Board,United States,
Bailu Ding (Microsoft Research),Bailu,Ding,Microsoft Research,Redmond,Member Review Board,United States,
Bertram Ludaescher (University of Illinois),Bertram,Ludäscher,University of Illinois,Urbana-Champaign,Member Review Board,United States,https://orcid.org/0000-0001-9140-936X
Bolong Zheng (Huazhong University of Science and Technology),Bolong,Zheng,Huazhong University of Science and Technology,Wuhan,Member Review Board,China,https://orcid.org/0000-0001-8639-4570
Brandon Haynes (University of Washington),Brandon,Haynes,University of Washington,Seattle,Member Review Board,United States,
"Byron Choi (Hong Kong Baptist University, Hong Kong, China)",Byron,Choi,Hong Kong Baptist University,Hong Kong,Member Review Board,Hong Kong SAR,https://orcid.org/0000-0002-8381-336X
Carlo Curino (Microsoft -- GSL),Carlo,Curino,Microsoft Research,Gray Systems Lab,Member Review Board,United States,
Carlos Scheidegger (The University of Arizona),Carlos,Scheidegger,University of Arizona,Tucson,Member Review Board,United States,
Carsten Binnig (TU Darmstadt),Carsten,Binnig,Technical University of Darmstadt,Darmstadt,Member Review Board,Germany,
Ce Zhang (ETH),Ce,Zhang,ETH Zurich,Zurich,Member Review Board,Switzerland,
Cheng Long (Nanyang Technological University),Cheng,Long,Nanyang Technological University,Singapore,Member Review Board,Singapore,
Chengfei Liu (Swinburne University of Technology),Chengfei,Liu,Swinburne University of Technology,Melbourne,Member Review Board,Australia,https://orcid.org/0000-0003-1675-1389
Chuan Lei (IBM Research - Almaden),Chuan,Lei,IBM Research,Almaden,Member Review Board,United States,
Chunbin Lin (Amazon AWS),Chunbin,Lin,Amazon,Amazon Web Services,Member Review Board,United States,https://orcid.org/0000-0002-7068-9929
Curtis Dyreson (Utah State University),Curtis,Dyreson,Utah State University,Logan,Member Review Board,United States,
Dana M Van Aken (Carnegie Mellon University),Dana M,van Aken,Carnegie Mellon University,Pittsburgh,Member Review Board,United States,
Daniel Deutch (Tel Aviv University),Daniel,Deutch,Tel Aviv University,Tel Aviv,Member Review Board,Israel,
