Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
"Tok Wang LING / National University of Singapore, Singapore",Tok Wang,Ling,National University of Singapore,Singapore,General Co-Chairs,Singapore,https://orcid.org/0000-0002-0496-0565
"Krithi RAMAMRITHAM / Indian Institute of Technology Bombay, India",Krithi,Ramamritham,Indian Institute of Technology,Bombay,General Co-Chairs,India,
"Elisa BERTINO / Purdue University, United States",Elisa,Bertino,Purdue University,West Lafayette,Technical Program Chair,United States,https://orcid.org/0000-0002-4029-7051
"Kian Lee TAN / National University of Singapore, Singapore",Kian Lee,Tan,National University of Singapore,Singapore,Core Database Technology Program Chair,Singapore,
"Paolo ATZENI / Università Roma Tre, Italy",Paolo,Atzeni,Roma Tre University,Rom,Infrastructure for Information Systems Program Chair,Italy,https://orcid.org/0000-0003-1513-4725
"Philip S. YU / University of Illinois at Chicago, United States",Philip S.,Yu,University of Illinois,Chicago,Industrial Applications and Experience Program Chair,United States,
"Masaru KITSUREGAWA / University of Tokyo, Japan",Masaru,Kitsuregawa,University of Tokyo,Tokyo,Experiments and Analyses Program Chair,Japan,https://orcid.org/0000-0003-4027-2994
"Ralf Hartmut GÜTING / University of Hagen, Germany",Ralf Hartmut,Güting,University of Hagen,Hagen,Demo PC Chair,Germany,https://orcid.org/0000-0001-6260-4051
"Wang-Chien LEE / The Pennsylvania State University, United States",Wang-Chien,Lee,Pennsylvania State University,?,Demo PC Chair,United States,https://orcid.org/0000-0002-8949-489X
"Ee-Peng LIM / Singapore Management University, Singapore",Ee-Peng,Lim,Singapore Management University,Singapore,Demo PC Chair,Singapore,https://orcid.org/0000-0003-0065-8665
"Xiaofeng MENG / Remin University, China",Xiaofeng,Meng,Renmin University of China,Beijing,Demo PC Chair,China,
"John MYLOPOULOS / University of Toronto, Canada",John,Mylopoulos,University of Toronto,Toronto,PhD Program Co-chairs,Canada,https://orcid.org/0000-0002-8698-3292
"Lizhu ZHOU / Tsinghua University, China",Lizhu,Zhou,Tsinghua University,Beijing,PhD Program Co-chairs,China,
"Xiaofang ZHOU / University of Queensland, Australia",Xiaofang,Zhou,University of Queensland,Brisbane,PhD Program Co-chairs,Australia,
"Amol DESHPANDE / University of Maryland, United States",Amol,Deshpande,University of Maryland,College Park,Workshop Program Co-Chairs,United States,
"Zachary G. IVES / University of Pennsylvania, United States",Zachary G.,Ives,University of Pennsylvania,Philadelphia,Workshop Program Co-Chairs,United States,
"Anthony Kum Hoe TUNG / National University of Singapore, Singapore",Anthony K. H.,Tung,National University of Singapore,Singapore,Workshop Program Co-Chairs,Singapore,https://orcid.org/0000-0002-5125-855X
"Guozhu DONG / Wright State University, United States",Guozhu,Dong,Wright State University,Daton,Tutorial Program Co-Chairs,United States,
"Hwee Hwa PANG / Singapore Management University, Singapore",Hwee Hwa,Pang,Singapore Management University,Singapore,Tutorial Program Co-Chairs,Singapore,
"Marianne WINSLETT / University of Illinois at Urbana-Champaign, United States",Marianne,Winslett,University of Illinois,Urbana-Champaign,Panel Program Co-Chairs,United States,
"Jeffrey Xu YU / The Chinese University of Hong Kong, China",Jeffrey Xu,Yu,Chinese University of Hong Kong,Hong Kong,Panel Program Co-Chairs,China,https://orcid.org/0000-0002-9738-827X
"David LOMET / Microsoft Research, United States",David,Lomet,Microsoft Research,Redmond,VLDB Endowment Liaison,United States,
"Jiawei HAN / University of Illinois at Urbana-Champaign, United States",Jiawei,Han,University of Illinois,Urbana-Champaign,Geographical Area Coordinators (Americas),United States,
"Kyu-Young WHANG / KAIST, South Korea",Kyu-Young,Whang,Korea Advanced Institute of Science and Technology,Daejeon,Geographical Area Coordinators (Asia-Pacific),South Korea,
"Timos SELLIS / National Tech. University of Athens, Greece",Timos,Sellis,National Technical University of Athens,Athens,"Geographical Area Coordinators (Europe, Mideast, and Africa)",Greece,https://orcid.org/0000-0002-9067-5639
"Jianzhong LI / Harbin Institute of Technology, China,",Jianzhong,Li,Harbin Institute of Technology,Harbin,"National Database Society Liaisons, Asia Pacific (CCF-DBS)","China,",
"Srinath SRINIVASA / IIIT Bangalore, India",Srinath,Srinivasa,International Institute of Information Technology,Bangalore,"National Database Society Liaisons, Asia Pacific (DB India)",India,
"Haruo YOKOTA / Tokyo Institute of Technology, Japan",Haruo,Yokota,Tokyo Institute of Technology,Tokyo,"National Database Society Liaisons, Asia Pacific (The Database Society of Japan (DBSJ))",Japan,https://orcid.org/0000-0001-9788-0443
"Bong Hee HONG / Pusan National University, South Korea",Bong Hee,Hong,Pusan National University,Busan,"National Database Society Liaisons, Asia Pacific (KIISE (Korean Institute of Information Scientists and  Engineers) Database Society)",South Korea,
"Sourav S BHOWMICK / Nanyang Technological University, Singapore",Sourav S.,Bhowmick,Nanyang Technological University,Singapore,Local Arrangements Co-Chairs,Singapore,
"Mong Li LEE / National University of Singapore, Singapore",Mong Li,Lee,National University of Singapore,Singapore,Local Arrangements Co-Chairs,Singapore,https://orcid.org/0000-0002-9636-388X
"Limsoon WONG / National University of Singapore, Singapore",Limsoon,Wong,National University of Singapore,Singapore,Sponsorship Co-Chairs,Singapore,https://orcid.org/0000-0003-1241-5441
"Dan SUCIU / University of Washington, United States",Dan,Suciu,University of Washington,Seattle,Sponsorship Co-Chairs,United States,
"Stéphane BRESSAN / National University of Singapore, Singapore",Stéphane,Bressan,National University of Singapore,Singapore,Publicity Co-Chairs,Singapore,
"Umeshwar DAYAL / HP Labs, United States",Umeshwar,Dayal,HP Labs,Palo Alto,Publicity Co-Chairs,United States,
"Christian S. JENSEN / Aalborg University, Denmark",Christian S.,Jensen,Aalborg University,Aalborg,Publicity Co-Chairs,Denmark,
"Yi CHEN / Arizona State University, United States",Yi,Chen,Arizona State University,Tempe,Proceedings Co-Chairs,United States,
"Y.C. TAY / National University of Singapore, Singapore",Y.C.,Tay,National University of Singapore,Singapore,Proceedings Co-Chairs,Singapore,
"Chee Yong CHAN / National University of Singapore, Singapore",Chee Yong,Chan,National University of Singapore,Singapore,Registration Chair,Singapore,
"Wynne HSU / National University of Singapore, Singapore",Wynne,Hsu,National University of Singapore,Singapore,Treasurer,Singapore,https://orcid.org/0000-0002-4142-8893
"Stéphane BRESSAN / National University of Singapore, Singapore",Stéphane,Bressan,National University of Singapore,Singapore,Web Management,Singapore,
"Zaini MOHD / National University of Singapore, Singapore",Zaini,Mohd,National University of Singapore,Singapore,Web Management,Singapore,
"Siew Foong HO / National University of Singapore, Singapore",Siew Foong,Ho,National University of Singapore,Singapore,Conference Secretariat,Singapore,
Henrique ANDRADE (IBM  United States),Henrique,Andrade,IBM Research,?,Industrial Applications and Experience PC Member,United States,
"Michael BRODIE (Verizon, United States)",Michael,Brodie,Verizon,?,Industrial Applications and Experience PC Member,United States,
"Malu CASTELLANOS (HP Labs, United States)",Malu,Castellanos,HP Labs,Palo Alto,Industrial Applications and Experience PC Member,United States,
"Edward CHANG (Google, China)",Edward,Chang,Google,?,Industrial Applications and Experience PC Member,China,
"Yuan-chi CHANG (IBM, United States)",Yuan-chi,Chang,IBM Research,? Watson Research Center in News York und Massachusetts,Industrial Applications and Experience PC Member,United States,
