Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
"Xin Luna Dong (Amazon, United States)",Xin Luna,Dong,Amazon,,Editor in Chief,United States,
"Felix Naumann (HPI, University of Potsdam, Germany)",Felix,Naumann,Hasso Plattner Institute,,Editor in Chief,Germany,https://orcid.org/0000-0002-4483-1389
"Wolfgang Lehner (TU Dresden, Germany)",Wolfgang,Lehner,Technical University of Dresden,,Managing Editor,Germany,https://orcid.org/0000-0001-8107-2775
Divesh Srivastava (AT&T Labs-Research),Divesh,Srivastava,AT&T Labs,,Member Advisory Board,United States,
M. Tamer Özsu (University of Waterloo),M. Tamer,Özsu,University of Waterloo,,Member Advisory Board,United States,https://orcid.org/0000-0002-8126-1717
Juliana Freire (New York University),Juliana,Freire,New York University,,Member Advisory Board,United States,https://orcid.org/0000-0003-3915-7075
Xin Luna Dong (Amazon),Xin Luna,Dong,Amazon,,Member Advisory Board,United States,
Peter Boncz (CWI),Peter,Boncz,Centrum Wiskunde & Informatica,,Member Advisory Board,Netherlands,
Lei Chen (Hong Kong University of Science and Technology),Lei,Chen,Hong Kong University of Science and Technology,,Member Advisory Board,Hong Kong SAR,
Graham Cormode (University of Warwick),Graham,Cormode,University of Warwick,,Member Advisory Board,United Kingdom,https://orcid.org/0000-0002-0698-0922
Xiaofang Zhou (University of Queensland),Xiaofang,Zhou,University of Queensland,,Member Advisory Board,Australia,
Magdalena Balazinska (Univ. of Washington),Magdalena,Balazinska,University of Washington,,Member Advisory Board,United States,
Fatma Özcan (IBM Almaden),Fatma,Ozcan,IBM Research,Almaden,Member Advisory Board,United States,
Felix Naumann (Hasso-Plattner Institute),Felix,Naumann,Hasso Plattner Institute,,Member Advisory Board,Germany,https://orcid.org/0000-0002-4483-1389
Peter Triantafillou (University of Warwick),Peter,Triantafillou,University of Warwick,,Member Advisory Board,United Kingdom,
"Wolfgang Lehner (TU Dresden, Germany)",Wolfgang,Lehner,Technical University of Dresden,,Member Advisory Board,Germany,https://orcid.org/0000-0001-8107-2775
"Alon Halevy (Facebook, United States)",Alon,Halevy,Facebook,,Associate Editor,United States,
"Anastasia Ailamaki (Ecole Polytechnique Federale de Lausanne (EPFL), Switzerland)",Anastasia,Ailamaki,École polytechnique fédérale de Lausanne,,Associate Editor,Switzerland,
"Angela Bonifati (Lyon 1 University, France)",Angela,Bonifati,Claude Bernard University Lyon 1,,Associate Editor,France,https://orcid.org/0000-0002-9582-869X
