Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
"Yunhe Pan, Chinese Academy of Engineering",Yunhe,Pan,Chinese Academy of Engineering,Beijing,Honorary Chair,China,
"Chun Chen, Zhejiang University",Chun,Chen,Zhejiang University,Hangzhou,General Chairs,China,
"Sharad Mehrotra, University of California, Irvine",Sharad,Mehrotra,University of California,Irvine,General Chairs,United States,
"H.V. Jagadish, University of Michigan",H. V.,Jagadish,University of Michigan,Ann Arbor,Program Chairs,United States,https://orcid.org/0000-0003-0724-5214
"Aoying Zhou, East Normal University, China",Aoying,Zhou,East China Normal University,Shanghai,Program Chairs,China,
"Shivnath Babu, Georgia Tech",Shivnath,Babu,Georgia Institute of Technology,Atlanta,Research Track Associate Editors,United States,
"Lei Chen, HKUST",Lei,Chen,Hong Kong University of Science and Technology,Hong Kong,Research Track Associate Editors,Hong Kong SAR,
"Graham Cormode, AT&T",Graham,Cormode,AT&T Labs,?,Research Track Associate Editors,United States,https://orcid.org/0000-0002-0698-0922
"Bin Cui, Peking University, China",Bin,Cui,Peking University,Bejing,Research Track Associate Editors,China,
"Wynne Hsu, NUS",Wynne,Hsu,National University of Singapore,Singapore,Research Track Associate Editors,Singapore,https://orcid.org/0000-0002-4142-8893
"Martin Kersten, CWI",Martin,Kersten,Centrum Wiskunde & Informatica,Amsterdam,Research Track Associate Editors,Netherlands,
"Donald Kossman, ETH",Donald,Kossman,ETH Zurich,Zurich,Research Track Associate Editors,Switzerland,
"Elke Rundensteiner, WPI",Elke,Rundensteiner,Worcester Polytechnic Institute,Worcester,Research Track Associate Editors,United States,
"Kyuseok Shim , Seoul National University",Kyuseok,Shim,Seoul National University,Seoul,Research Track Associate Editors,South Korea,
"Wang-Chiew Tan, UCSC",Wang-Chiew,Tan,University of California,Santa Cruz,Research Track Associate Editors,United States,
"Letizia Tanca, Politecnico di Milano",Letizia,Tanca,Polytechnic University of Milan,Milano,Research Track Associate Editors,Italy,https://orcid.org/0000-0003-2607-3171
"Jeffrey Yu, Chinese University of Hongkong",Jeffrey,Yu,Chinese University of Hongkong,Hong Kong,Research Track Associate Editors,Hong Kong SAR,
"Kyu-Young Whang, KAIST",Kyu-Young,Whang,Korea Advanced Institute of Science and Technology,Daejeon,VLDB Endowment Liaison,South Korea,
"Gao Cong, Nanyang Technological University",Gao,Cong,Nanyang Technological University,Singapore,Experiments and Analysis Track Associate Charis,Singapore,
"Jens Dittrich, Saarland",Jens,Dittrich,Saarland University,Saarbrücken,Experiments and Analysis Track Associate Charis,Germany,
"Zachary Ives, UPenn",Zachary G.,Ives,University of Pennsylvania,Philadelphia,Vision Track Associate Editor,United States,
"Umesh Dayal, Hitachi",Umeshwar,Dayal,Hitachi,America,Industrial and Applications Track Associate Editors,United States,
"C Mohan, IBM",C,Mohan,IBM Research,Almaden,Industrial and Applications Track Associate Editors,United States,
"Ge Yu, Northeastern University",Ge,Yu,Northeastern University,Boston,Industrial and Applications Track Associate Editors,United States,
"Mong-Li Lee, NUS",Mong-Li,Lee,National University of Singapore,Singapore,Demonstrations Chairs,Singapore,https://orcid.org/0000-0002-9636-388X
"Fei Fei Li, Utah",Feifei,Li,University of Utah,Salt Lake City,Demonstrations Chairs,United States,
"Sunil Prabhakar, Purdue",Sunil,Prabhakar,Purdue University,West Lafayette,Demonstrations Chairs,United States,
"Erich Neuhold, University of Vienna",Erich,Neuhold,University of Vienna,Vienna,PhD Workshop Chairs,Austria,
"Yunyao Li, IBM",Yunyao,Li,IBM Research,Almaden,PhD Workshop Chairs,United States,
"Anastasia Ailamaki, EPFL",Anastasia,Ailamaki,École polytechnique fédérale de Lausanne,Lausanne,Workshop Chairs,Switzerland,
"Kaushik Chakrabarti, Microsoft",Kaushik,Chakrabarti,Microsoft Research,Redmond,Workshop Chairs,United States,
"Xiaoyong Du, Renmin University",Xiaoyong,Du,Renmin Renmin University of China,Beijing,Tutorial Chairs,China,
"Murat Kantarcioglu, UT, Dallas",Murat,Kantarcioglu,University of Texas,Dallas,Tutorial Chairs,United States,https://orcid.org/0000-0001-9795-9063
"Divesh Srivastava, AT&T Labs",Divesh,Srivastava,AT&T Labs,?/Research,Tutorial Chairs,United States,https://orcid.org/0000-0002-7609-9217
"Hakan Hacigumus, NEC Labs",Hakan,Hacigumus,NEC Laboratories America,Princeton,Panel Chairs,United States,
"Jignesh Patel, Wisconsin",Jignesh M.,Patel,University of Wisconsin,Madison,Panel Chairs,United States,
"Xiaoyang Sean Wang, Fudan University",Xiaoyang Sean,Wang,Fudan University,Shanghai,Panel Chairs,China,https://orcid.org/0000-0002-9059-3713
"Vasilis Vassalos, Athens University of Economics & Business",Vasilis,Vassalos,Athens University of Economics and Business,Athens,Publicity Chair,Greece,
"Dunlu Peng, University of Shanghai for Science and Technology",Dunlu,Peng,University of Shanghai for Science and Technology,Shanghai,Publicity Chair,China,https://orcid.org/0000-0003-0223-5447
"Li Xiong, Emory University",Li,Xiong,Emory University,Atlanta,Proceedings Chairs,United States,
"Cong Yu, Google",Cong,Yu,Google Research,New York City,Proceedings Chairs,United States,
"Sai Wu, Zhejiang University",Sai,Wu,Zhejiang University,Hangzhou,Web Management Chair,China,
"Li (Eric) Qian, University of Michigan",Li Eric,Qian,University of Michigan,Ann Arbor,Treasury Chair,United States,
"Mike Carey, UCI",Mike,Carey,University of California,Irvine,Sponsorship Chairs,United States,
"Lizhu Zhou, Tsinghua University",Lizhu,Zhou,Tsinghua University,Beijing,Sponsorship Chairs,China,
"Gang Chen, Zhejiang University",Gang,Chen,Zhejiang University,Hangzhou,Local Organization Chair,China,
"Lidan Shou, Zhejiang University",Lidan,Shou,Zhejiang University,Hangzhou,Local Organization Chair,China,
"Ke Chen, Zhejiang University",Ke,Chen,Zhejiang University,Hangzhou,Conference & Registration management,China,
"Cuiping Li, Renmin University",Cuiping,Li,Renmin University of China,Bejing,Conference & Registration management,China,
Guanmin Guo,Guanmin,Guo,?,?,Logo Design,?,https://orcid.org/0000-0002-3519-9289
"Barbara Catania, University of Genova, Italy",Barbara,Catania,University of Genoa,Genoa,PhD Workshop PC Members,Italy,https://orcid.org/0000-0002-6443-169X
"Gerhard Weikum, Max-Planck-Institut für Informatik, Germany",Gerhard,Weikum,Max Planck Institute,Saarbrücken,PhD Workshop PC Members,Germany,
"Gustavo Alonso, ETH Zurich, Switzerland",Gustavo,Alonso,ETH Zurich,Zurich,PhD Workshop PC Members,Switzerland,
"Guoliang Li, Tsinghua University, Beijing, China",Guoliang,Li,Tsinghua University,Bejing,PhD Workshop PC Members,Beijing,
"Isabel Cruz, University of Illinois at Chicago, USA",Isabel,Cruz,University of Illinois,Chicago,PhD Workshop PC Members,United States,
"Jae-Gil Lee, KAIST, South Korea",Jae-Gil,Lee,Korea Advanced Institute of Science and Technology,Daejeon,PhD Workshop PC Members,South Korea,
"Lijun Chang, Chinese University of Hong Kong",Lijun,Chang,Chinese University of Hong Kong,Hong Kong,PhD Workshop PC Members,Hong Kong SAR,
"Minos Garofolakis, Technical University of Crete, Greece",Minos,Garofolakis,Technical University of Crete,Chania,PhD Workshop PC Members,Greece,
