Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Alfons Kemper (TUM),Alfons,Kemper,Technical University of Munich,Munich,General Conference Chairs,Germany,
Thomas Neumann (TUM),Thomas,Neumann,Technical University of Munich,Munich,General Conference Chairs,Germany,
Johann-Christoph Freytag,Johann-Christoph,Freytag,Humboldt University of Berlin,Berlin,Honorary Chair,Germany,
Stephan Günnemann (TUM),Stephan,Günnemann,Technical University of Munich,Munich,Organization Committee Chair,Germany,https://orcid.org/0000-0001-7772-5059
Alfons Kemper (TUM),Alfons,Kemper,Technical University of Munich,Munich,Organization Committee Chair,Germany,
Thomas Neumann (TUM),Thomas,Neumann,Technical University of Munich,Munich,Organization Committee Chair,Germany,
Peter Boncz (CWI),Peter,Boncz,Centrum Wiskunde & Informatica,Amsterdam,Program Committee Chairs,Netherlands,
Ken Salem (U Waterloo),Kenneth,Salem,University of Waterloo,Waterloo,Program Committee Chairs,Canada,
Volker Markl (TU Berlin),Volker,Markl,Technical University of Berlin,Berlin,VLDB Endowment Representative,Germany,
Mike Carey (UC Irvine),Mike,Carey,University of California,Irvine,Sponsorship Committee Chairs,United States,
Sang Kyun Cha (Univ. Seoul),Sang Kyun,Cha,Seoul National University,Seoul,Sponsorship Committee Chairs,South Korea,
Wolfgang Lehner (TU Dresden),Wolfgang,Lehner,Technical University of Dresden,Dresden,Sponsorship Committee Chairs,Germany,https://orcid.org/0000-0001-8107-2775
Jens Dittrich (Saarland U),Jens,Dittrich,Saarland University,Saarbrücken,Publicity Committee Chair,Germany,
Vagelis Hristidis (UC Riverside),Vagelis,Hristidis,University of California,Riverside,Tutorial Chairs,United States,https://orcid.org/0000-0001-8679-4988
Aristides Gionis (Aalto University),Aristides,Gionis,Aalto University,Espoo,Tutorial Chairs,Finland,https://orcid.org/0000-0002-5211-112X
Felix Naumann (HPI),Felix,Naumann,Hasso Plattner Institute,Potsdam,Industrial Chairs,Germany,https://orcid.org/0000-0002-4483-1389
Jonathan Goldstein (Microsoft Research),Jonathan,Goldstein,Microsoft Research,Redmond,Industrial Chairs,United States,
Jingren Zhou (Alibaba),Jingren,Zhou,Alibaba Group,Hangzhou,Industrial Chairs,China,
Martin Theobald (University of Luxembourg),Martin,Theobald,University of Luxembourg,Esch-sur-Alzette,Demo Chairs,Luxembourg,
Bingsheng He (NUS),Bingsheng,He,National University of Singapore,Singapore,Demo Chairs,Singapore,
Reynold Xin (Databricks),Reynold,Xin,Databricks,San Francisco,Demo Chairs,United States,
Stratos Idreos (Harvard),Stratos,Idreos,Harvard University,Cambridge,Panel Chairs,United States,
Michael Brodie (MIT),Michael,Brodie,Massachusetts Institute of Technology,Cambridge,Panel Chairs,United States,
Christian S. Jensen (Aalborg Univ),Christian S.,Jensen,Aalborg University,Aalborg,Workshop Chairs,Denmark,
M. Tamer Özsu (U Waterloo),M. Tamer,Özsu,University of Waterloo,Waterloo,Workshop Chairs,Canada,https://orcid.org/0000-0002-8126-1717
Erhard Rahm (Uni Leipzig),Erhard,Rahm,University of Leipzig,Leipzig,PhD Workshop Chairs,Germany,https://orcid.org/0000-0002-2665-1114
Peter Christen (ANU),Peter,Christen,Australian National University,Canberra,PhD Workshop Chairs,Australia,
Bettina Kemme (McGill University),Bettina,Kemme,McGill University,Montreal,PhD Workshop Chairs,Canada,
Aaron Elmore (Univerisity of Chicago),Aaron,Elmore,University of Chicago,Chicago,Proceedings Chairs,United States,
Alvin Cheung (University of Washington),Alvin,Cheung,University of Washington,Seattle,Proceedings Chairs,United States,
