Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Juliana Freire,Juliana,Freire,New York University,New York City,Programm Committee Chair,United States,https://orcid.org/0000-0003-3915-7075
Xuemin Lin,Xuemin,Lin,University of New South Wales,Sydney,Programm Committee Chair,Australia,
"Alan Fekete, University of Sydney",Alan,Fekete,University of Sydney,Sydney,General Chair,Australia,
"Uwe Roehm, University of Sydney",Uwe,Röhm,University of Sydney,Sydney,General Chair,Australia,https://orcid.org/0000-0003-3598-7119
"Manos Athanassoulis, Boston University",Manos,Athanassoulis,Boston University,Boston,Publicity Chair,United States,https://orcid.org/0000-0003-1837-0010
"Peter Triantafillou, University of Warwick",Peter,Triantafillou,University of Warwick,Coventry,Reproducibility Evaluation Chairs,United Kingdom,https://orcid.org/0000-0002-5807-6011
"Oliver Kennedy, University at Buffalo",Oliver,Kennedy,State University of New York,Buffalo,Reproducibility Evaluation Chairs,United States,https://orcid.org/0000-0003-0632-1668
"Lakshmanan Laks V.S., University of British Columbia",Laks V.S.,Lakshmanan,University of British Columbia,Vancouver,Tutorial Chairs,Canada,
"Ishikawa Yoshiharu, Nagoya University",Ishikawa,Yoshiharu,Nagoya University,Nagoya,Tutorial Chairs,Japan,
"C. Mohan, National University of Singapore",C.,Mohan,National University of Singapore,Singapore,Industrial Chairs,Singapore,
"Eric Simon, SAP",Eric,Simon,SAP,?,Industrial Chairs,France,
"Feifei Li, Alibab",Feifei,Li,Alibaba Group,Hangzhou,Industrial Chairs,China,
"Eduard Dragut, Temple University",Eduard,Dragut,Temple University,Philadelphia,Demo Chairs,United States,https://orcid.org/0000-0002-3103-054X
"Immanuel Trummer, Cornell University",Immanuel,Trummer,Cornell University,Ithaka,Demo Chairs,United States,https://orcid.org/0000-0002-7203-2349
"AnHai Doan, University of Wisconsin, Madison",AnHai,Doan,University of Wisconsin,Madison,Panel Chairs,United States,
"SihemAmer-Yahia, CNRS, Univ. Grenoble Alpes",Sihem,Amer-Yahia,French National Centre for Scientific Research,Paris,Panel Chairs,France,
"Peter Bailis, Sisu Data",Peter,Bailis,Sisu Data,San Francisco,Panel Chairs,United States,
"HV Jagadish, University of Michigan",H. V.,Jagadish,University of Michigan,Ann Arbor,Workshop Chairs,United States,https://orcid.org/0000-0003-0724-5214
"Raul Castro-Fernandez, University of Chicago",Raul,Castro Fernandez,University of Chicago,Chicago,Workshop Chairs,United States,
"Xin Cao, University of New South Wales",Xin,Cao,University of New South Wales,Sydney,Proceedings Chairs,Australia,
"Lijun Chang, University of Sydney",Lijun,Chang,University of Sydney,Sydney,Proceedings Chairs,Australia,
"Kai Wang, University of New South Wales",Kai,Wang,University of New South Wales,Sydney,Web Chair,Australia,
