Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
"Themis Palpanas, University of Trento",Themis,Palpanas,University of Trento,Trento,General Chairs,Italy,https://orcid.org/0000-0002-8031-0265
"Yannis Velegrakis, University of Trento",Yannis,Velegrakis,University of Trento,Trento,General Chairs,Italy,https://orcid.org/0000-0001-6332-0296
"Michael Böhlen, University of Zurich",Michael H.,Böhlen,University of Zurich,Zurich,Program Chairs,Switzerland,https://orcid.org/0000-0003-3694-9026
"Christoph Koch, EPFL",Christoph,Koch,École polytechnique fédérale de Lausanne,Lausanne,Program Chairs,Switzerland,
"Min Wang, Google Research",Min,Wang,Google Research,Mountain View,Industrial and Applications Track Chairs,United States,
"Cong Yu, Google Research",Cong,Yu,Google Research,New York City,Industrial and Applications Track Chairs,United States,
"Jun Yang, Duke University",Jun,Yang,Duke University,Durham,Demonstrations Chairs,United States,
"Dimitrios Gunopulos, University of Athens",Dimitrios,Gunopulos,University of Athens,Athens,Demonstrations Chairs,Greece,
"Letizia Tanca, Politecnico di Milano",Letizia,Tanca,Polytechnic University of Milan,Milano,Demonstrations Chairs,Italy,https://orcid.org/0000-0003-2607-3171
"Angela Bonifati, Icar-CNR",Angela,Bonifati,University of Lille 1 Sciences and Technology,Lille,PhD Workshop Chairs,France,https://orcid.org/0000-0002-9582-869X
"Sanjay Chawla, University of Sydney",Sanjay,Chawla,University of Sydney,Sydney,PhD Workshop Chairs,Australia,
"Chris Jermaine, Rice University",Chris,Jermaine,Rice University,Houston,PhD Workshop Chairs,United States,
"Tiziana Catarci, Sapienza Universita di Roma",Tiziana,Catarci,Sapienza University of Rome,Rome,Workshop Chairs,Italy,https://orcid.org/0000-0002-3578-1121
"AnHai Doan, University of Wisconsin and @WalmartLabs",AnHai,Doan,University of Wisconsin,Madison,Workshop Chairs,United States,
"Tova Milo, Tel Aviv University",Tova,Milo,Tel Aviv University,Tel Aviv,Workshop Chairs,Israel,
"Serge Abiteboul, INRIA",Serge,Abiteboul,INRIA,Paris,Tutorial Chairs,France,
"Gianni Mecca, Universita della Basilicata",Gianni,Mecca,University Basilicata,Potenza,Tutorial Chairs,Italy,
"Haixun Wang, Microsoft Research Asia",Haixun,Wang,Microsoft Research,Asia,Tutorial Chairs,China,
"Shivnath Babu, Duke University",Shivnath,Babu,Duke University,Durham,Panel Chairs,United States,
"Stavros Harizopoulos, nou data",Stavros,Harizopoulos,HP Labs,Palo Alto,Panel Chairs,United States,
"Ihab Ilyas, Qatar Computing Research Institute",Ihab F.,Ilyas,Qatar Computing Research Institute,Doha,Panel Chairs,Qatar,https://orcid.org/0000-0001-9052-9714
"Tasos Kementsietsidis, IBM T.J. Watson Research Center",Tasos,Kementsietsidis,IBM Research,? Watson Research Center in News York und Massachusetts,Publicity Chair,United States,
"Stratis Viglas, University of Edinburgh",Stratis,Viglas,University of Edinburgh,Edinburgh,Proceedings Chair,United Kingdom,
"Francesco Guerra, University of Modena and Reggio Emilia",Francesco,Guerra,University of Modena and Reggio Emilia,Modena,Web Management Chair,Italy,
"Marios Hadjieleftheriou, AT&T Labs Research",Marios,Hadjieleftheriou,AT&T Labs,?,Treasury Chair,United States,
"Sam Madden, Massachusetts Institute of Technology",Samuel,Madden,Massachusetts Institute of Technology,Cambridge,Sponsorship Chairs,United States,
"Vassilis Vassalos, Athens University of Economics and Business",Vassilis,Vassalos,Athens University of Economics and Business,Athens,Sponsorship Chairs,Greece,
"Paolo Merialdo, Universita Roma Tre",Paolo,Merialdo,Roma Tre University,Rom,Sponsorship Chairs,Italy,https://orcid.org/0000-0002-3852-8092
"Philippe Bonnet, IT University of Copenhagen",Philippe,Bonnet,IT University of Copenhagen,Copenhagen,Reproducibility Chair,Denmark,
"Juliana Freire, New York University",Juliana,Freire,New York University,New York City,Reproducibility Chair,United States,https://orcid.org/0000-0003-3915-7075
"Dennis Shasha, New York University",Dennis,Shasha,New York University,New York City,Reproducibility Chair,United States,
"Periklis Andritsos, University of Toronto",Periklis,Andritsos,University of Toronto,Toronto,Registration Administration,Canada,
"Ufficio Convegni and dbTrento Group, University of Trento",Ufficio,Convegni,University of Trento,Trento,Local Administration,Italy,
Sakis Palpanas,Sakis,Palpanas,?,?,Logo Design,?,
Michael Brodie - Verizon,Michael,Brodie,Verizon,,Member Industrial Track Program Commitee,United States,
Alejandro Buchmann - Technische Universität Darmstadt,Alejandro,Buchmann,Technical University of Darmstadt,Darmstadt,Member Industrial Track Program Commitee,Germany,
Shimin Chen - HP Labs China,Shimin,Chen,HP Labs,China,Member Industrial Track Program Commitee,China,
Umeshwar Dayal - HP Labs,Umeshwar,Dayal,HP Labs,Palo Alto,Member Industrial Track Program Commitee,United States,
Shel Finkelstein - SAP,Shel,Finkelstein,SAP Labs,Palo Alto,Member Industrial Track Program Commitee,United States,
Dieter Gawlick - Oracle,Dieter,Gawlick,Oracle,?,Member Industrial Track Program Commitee,United States,https://orcid.org/0000-0002-7882-0565
Anastasios Kementsietsidis - IBM Research,Anastasios,Kementsietsidis,IBM Research,Almaden,Member Industrial Track Program Commitee,United States,
