Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Sihem Amer-Yahia,Sihem,Amer-Yahia,Laboratoire d'Informatique de Grenoble,Grenoble,Editor in Chief,France,
Jian Pei,Jian,Pei,Simon Fraser University,,Editor in Chief,United States,
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Managing Editor,United States,
Juliana Freire,Juliana,Freire,New York University,,Member Advisory Board,United States,https://orcid.org/0000-0003-3915-7075
Jayant Haritsa,Jayant,Haritsa,Indian Institute of Science,Bangalore,Member Advisory Board,India,
Wolfgang Lehner,Wolfgang,Lehner,Technical University of Dresden,,Member Advisory Board,Germany,https://orcid.org/0000-0001-8107-2775
Chen Li,Chen,Li,University of California,Irvine,Member Advisory Board,United States,
Renée J. Miller,Renée J.,Miller,Northeastern University,Boston,Member Advisory Board,United States,
Tova Milo,Tova,Milo,Tel Aviv University,,Member Advisory Board,Israel,
M. Tamer Özsu,M. Tamer,Özsu,University of Waterloo,,Member Advisory Board,United States,https://orcid.org/0000-0002-8126-1717
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Member Advisory Board,United States,
Kian-Lee Tan,Kian-Lee,Tan,National University of Singapore,,Member Advisory Board,Singapore,
Luc Bouganim,Luc,Bouganim,INRIA,Saclay,Associate Editor,France,
Juliana Freire,Juliana,Freire,New York University,,Associate Editor,United States,https://orcid.org/0000-0003-3915-7075
Johannes Gehrke,Johannes,Gehrke,Microsoft Research,,Associate Editor,United States,
Wook-Shin Han,Wook-Shin,Han,Pohang University of Science and Technology,,Associate Editor,South Korea,
Chris Jermaine,Chris,Jermaine,Rice University,,Associate Editor,United States,
Jimmy Lin,Jimmy,Lin,University of Waterloo,,Associate Editor,Canada,
Ioana Manolescu,Ioana,Manolescu,INRIA,Saclay,Associate Editor,France,https://orcid.org/0000-0002-0425-2462
Renee Miller,Renée J.,Miller,Northeastern University,Boston,Associate Editor,United States,
Mohamed Mokbel,Mohamed F.,Mokbel,Qatar Computing Research Institute,,Associate Editor,Qatar,https://orcid.org/0000-0002-6686-1757
Felix Naumann,Felix,Naumann,Hasso Plattner Institute,,Associate Editor,Germany,https://orcid.org/0000-0002-4483-1389
Srinivasan Parthasarathy,Srinivasan,Parthasarathy,Ohio State University,Columbus,Associate Editor,United States,
Andrew Pavlo,Andrew,Pavlo,Carnegie Mellon University,Pittsburgh,Associate Editor,United States,
S. Sudarshan,S.,Sudarshan,Indian Institute of Technology,Bombay,Associate Editor,India,
Jens Teubner,Jens,Teubner,Technical University of Dortmund,,Associate Editor,Germany,https://orcid.org/0000-0002-0344-5203
Yuanyuan Tian,Yuanyuan,Tian,IBM Research,Almaden,Associate Editor,United States,
Jianliang Xu,Jianliang,Xu,Hong Kong Baptist University,,Associate Editor,Hong Kong SAR,
Meihui Zhang,Meihui,Zhang,Beijing Institute of Technology,,Associate Editor,China,https://orcid.org/0000-0002-0752-9877
Xiaodong Zhang,Xiaodong,Zhang,Ohio State University,Columbus,Associate Editor,United States,
