Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Roger Barga (Microsoft Research),Roger,Barga,Microsoft Research,Redmond,Member Industrial Track Program Commitee,United States,
Christof Bornhoevd (SAP Palo Alto),Christof,Bornhoevd,SAP Labs,Palo Alto,Member Industrial Track Program Commitee,United States,
Brian Cooper (Google),Brian,Cooper,Google,Mountain View,Member Industrial Track Program Commitee,United States,
Anish Das Sarma (Yahoo! Research),Anish Das,Sarma,Yahoo Research,?,Member Industrial Track Program Commitee,United States,
Mario Inchiosa (Netezza),Mario,Inchiosa,Netezza,Marlborough,Member Industrial Track Program Commitee,United States,
Avinash Lakshman (Facebook),Avinash,Lakshman,Facebook,?,Member Industrial Track Program Commitee,United States,
Zhen Hua Liu (Oracle),Zhen Hua,Liu,Oracle,?,Member Industrial Track Program Commitee,United States,
Jun Rao (LinkedIn),Jun,Rao,LinkedIn,Sunnyvale,Member Industrial Track Program Commitee,United States,
Mehul Shah (HP Labs),Mehul,Shah,HP Labs,Palo Alto,Member Industrial Track Program Commitee,United States,
Adam Silberstein (Yahoo! Research),Adam,Silberstein,Yahoo Research,Santa Clara,Member Industrial Track Program Commitee,United States,
Alkis Simitsis (HP Labs),Alkis,Simitsis,HP Labs,Palo Alto,Member Industrial Track Program Commitee,United States,
Garret Swart (Oracle),Garret,Swart,Oracle,?,Member Industrial Track Program Commitee,United States,
Yuanyuan Tian (IBM Research),Yuanyuan,Tian,IBM Research,Almaden,Member Industrial Track Program Commitee,United States,https://orcid.org/0000-0003-4510-1852
Yu Xu (Teradata),Yu,Xu,Teradata,San Diego,Member Industrial Track Program Commitee,United States,
Peter Zabback (Microsoft),Peter,Zabback,Microsoft Research,?,Member Industrial Track Program Commitee,United States,
Calisto Zuzarte (IBM),Calisto,Zuzarte,IBM,Pickering,Member Industrial Track Program Commitee,Canada,
"Sourav Bhowmick (Nanyang Technological University, Singapore)",Sourav S.,Bhowmick,Nanyang Technological University,Singapore,Demo Program Committee Members,Singapore,
Dhruba Borthakur (Facebook),Dhruba,Borthakur,Facebook,San Mateo,Demo Program Committee Members,United States,
"Sarah Boulakia (LRI Orsay, France)",Sarah,Boulakia,Laboratoire de Recherche en Informatique,Orsay,Demo Program Committee Members,France,https://orcid.org/0000-0002-7439-1441
"Sang Cha (Seoul National University, Korea)",Sang Kyun,Cha,Seoul National University,Seoul,Demo Program Committee Members,Korea,
Venkatesh Ganti (Google),Venkatesh,Ganti,Google,Mountain View,Demo Program Committee Members,United States,
Shahram Ghandeharizadeh (U. Sourthern California),Shahram,Ghandeharizadeh,University of Southern California,Los Angeles,Demo Program Committee Members,United States,
"Yoshiharu Ishikawa (Nagoya University, Japan)",Yoshiharu,Ishikawa,Nagoya University,Nagoya,Demo Program Committee Members,Japan,
"Volker Markl (TU Berlin, Germany)",Volker,Markl,Technical University of Berlin,Berlin,Demo Program Committee Members,Germany,
Jun Miyazaki (Nara Institute of Science and Technology),Jun,Miyazaki,Nara Institute of Science and Technology,Ikoma,Demo Program Committee Members,Japan,https://orcid.org/0000-0002-3038-7678
Bongki Moon (University of Arizona),Bongki,Moon,University of Arizona,Tucson,Demo Program Committee Members,United States,
"Atsuyuki Morishima (Tsukuba University, Japan)",Atsuyuki,Morishima,University of Tsukuba,Tennodai,Demo Program Committee Members,Japan,https://orcid.org/0000-0003-4781-4100
Rimma Nehme (Microsoft Research),Rimma V.,Nehme,Microsoft Research,Redmond,Demo Program Committee Members,United States,
Jun Rao (LinkedIn),Jun,Rao,LinkedIn,Sunnyvale,Demo Program Committee Members,United States,
Rajeev Rastogi (Yahoo! Research India),Rajeev,Rastogi,Yahoo Research,India,Demo Program Committee Members,India,
"Keishi Tajima (Kyoto University, Japan)",Keishi,Tajima,Kyoto University,Kyoto,Demo Program Committee Members,Japan,
"Xiaofang Zhou (University of Queensland, Australia)",Xiaofang,Zhou,University of Queensland,Brisbane,Demo Program Committee Members,Australia,
"Berthold Reinwald, IBM Almaden Research Center",Berthold,Reinwald,IBM Research,Almaden,Industrial and Applications Track Co-Chairs,United States,
"Phil Bohannon, Yahoo! Research",Phil,Bohannon,Yahoo Research,?,Industrial and Applications Track Co-Chairs,United States,
"Jignesh Patel, University of Wisconsin – Madison",Jignesh M.,Patel,University of Wisconsin,Madison,Demonstration Track Co-Chairs,United States,
"Masatoshi Yoshikawa, University of Kyoto",Masatoshi,Yoshikawa,Kyoto University,Kyoto,Demonstration Track Co-Chairs,Japan,https://orcid.org/0000-0002-1176-700X
"Gerhard Weikum, Max Planck Institute for Informatics",Gerhard,Weikum,Max Planck Institute,Saarbrücken,Challenges and Vision Track Chair,Germany,
Anastassia Ailamaki (EPF Lausanne),Anastassia,Ailamaki,École polytechnique fédérale de Lausanne,Lausanne,Challenges and Vision Track PC Member,Switzerland,
Sihem Amer-Yahia (Yahoo! Research),Sihem,Amer-Yahia,Yahoo Research,?,Challenges and Vision Track PC Member,United States,
Philip Bernstein (Microsoft Research),Philip A.,Bernstein,Microsoft Research,Redmond,Challenges and Vision Track PC Member,United States,
Michael Cafarella (University of Michigan),Michael J.,Cafarella,University of Michigan,Ann Arbor,Challenges and Vision Track PC Member,United States,
Susan Davidson (University of Pennsylvania),Susan,Davidson,University of Pennsylvania,Philadelphia,Challenges and Vision Track PC Member,United States,
Laura Haas (IBM Almaden Research Center),Laura,Haas,IBM Research,Almaden,Challenges and Vision Track PC Member,United States,
Meichun Hsu (HP Labs),Meichun,Hsu,HP Labs,China,Challenges and Vision Track PC Member,China,
Hank Korth (Lehigh University),Hank,Korth,Lehigh University,Bethlehem,Challenges and Vision Track PC Member,United States,
"Qiong Luo, Hong Kong University of Science & Techn.",Qiong,Luo,Hong Kong University of Science and Technology,Hong Kong,VLDB 2011 Tutorial Program Co-Chairs,Hong Kong SAR,
"Gerome Miklau, University of Massachusetts – Amherst",Gerome,Miklau,University of Massachusetts,Amherst,VLDB 2011 Tutorial Program Co-Chairs,United States,
"José Blakeley, Microsoft",José,Blakeley,Microsoft Research,Redmond,General PC Co-Chairs,United States,
"Joseph M. Hellerstein, University of California – Berkeley",Joseph M.,Hellerstein,University of California,Berkeley,General PC Co-Chairs,United States,https://orcid.org/0000-0002-7712-4306
"Nick Koudas, University of Toronto and Sysomos Inc.",Nick,Koudas,University of Toronto,Toronto,Research Track Co-Chairs,Canada,
"Wolfgang Lehner, Dresden University of Technology",Wolfgang,Lehner,Technical University of Dresden,Dresden,Research Track Co-Chairs,Germany,https://orcid.org/0000-0001-8107-2775
"Sunita Sarawagi, IIT Bombay",Sunita,Sarawagi,Indian Institute of Technology,Bombay,Research Track Co-Chairs,India,
"Paul Larson, Microsoft Research",Paul,Larson,Microsoft Research,Redmond,General Chair,United States,
"Philippe Bonnet, IT University of Copenhagen",Philippe,Bonnet,IT University of Copenhagen,Copenhagen,PhD Workshop Chair,Denmark,
"Luis Gravano, Columbia University",Luis,Gravano,Columbia University,New York City,Workshop Co-Chairs,United States,
"Chris Jermaine, Rice University",Chris,Jermaine,Rice University,Houston,Workshop Co-Chairs,United States,
