Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Chen Li,Chen,Li,University of California,Irvine,Editor in Chief,United States,
Volker Markl,Volker,Markl,Technical University of Berlin,,Editor in Chief,Germany,
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Managing Editor,United States,
H. V. Jagadish,H. V.,Jagadish,University of Michigan,,Member Advisory Board,United States,https://orcid.org/0000-0003-0724-5214
Renée J. Miller,Renée J.,Miller,Northeastern University,Boston,Member Advisory Board,United States,
M. Tamer Özsu,M. Tamer,Özsu,University of Waterloo,,Member Advisory Board,United States,https://orcid.org/0000-0002-8126-1717
Kian-Lee Tan,Kian-Lee,Tan,National University of Singapore,,Member Advisory Board,Singapore,
Michael Böhlen,Michael H.,Böhlen,University of Zurich,,Member Advisory Board,Switzerland,https://orcid.org/0000-0003-3694-9026
Susan Davidson,Susan,Davidson,University of Pennsylvania,,Member Advisory Board,United States,
S. Sudarshan,S.,Sudarshan,Indian Institute of Technology,Bombay,Member Advisory Board,India,
Gerhard Weikum,Gerhard,Weikum,Max Planck Institute,Saarbrücken,Member Advisory Board,Germany,
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Member Advisory Board,United States,
Kevin Chang,Kevin,Chang,University of Illinois,Urbana-Champaign,Associate Editor,United States,
Shivnath Babu,Shivnath,Babu,Duke University,,Associate Editor,United States,
Magdalena Balazinska,Magdalena,Balazinska,University of Washington,,Associate Editor,United States,
Felix Naumann,Felix,Naumann,Hasso Plattner Institute,,Associate Editor,Germany,https://orcid.org/0000-0002-4483-1389
Stefan Manegold,Stefan,Manegold,Centrum Wiskunde & Informatica,,Associate Editor,Netherlands,
Yi Chen,Yi,Chen,New Jersey Institute of Technology,,Associate Editor,United States,
Fatma Ozcan,Fatma,Ozcan,IBM Research,Almaden,Associate Editor,United States,
Jignesh Patel,Jignesh M.,Patel,University of Wisconsin,Madison,Associate Editor,United States,
Rainer Gemulla,Rainer,Gemulla,University of Mannheim,,Associate Editor,Germany,https://orcid.org/0000-0003-2762-0050
Tyson Condie,Tyson,Condie,Microsoft Research,,Publication Editor,United States,
Daisy Zhe Wang,Daisy Zhe,Wang,University of Florida,,Publication Editor,United States,
Daniel Abadi,Daniel,Abadi,Yale University,,Member Review Board,United States,
Alberto Abello,Alberto,Abello,Polytechnic University of Catalonia,,Member Review Board,Spain,https://orcid.org/0000-0002-3223-2186
Ashraf Aboulnaga,Ashraf,Aboulnaga,Qatar Computing Research Institute,,Member Review Board,Qatar,
Foto Afrati,Foto,Afrati,National Technical University of Athens,,Member Review Board,Greece,
Sihem Amer Yahia,Sihem Amer,Yahia,French National Centre for Scientific Research,,Member Review Board,France,
Aijun An,Aijun,An,York University,,Member Review Board,Canada,https://orcid.org/0000-0003-1765-5751
Arvind Arasu,Arvind,Arasu,Microsoft Research,,Member Review Board,United States,
Walid Aref,Walid,Aref,Purdue University,,Member Review Board,United States,https://orcid.org/0000-0001-8169-7775
Paolo Atzeni,Paolo,Atzeni,Roma Tre University,,Member Review Board,Italy,https://orcid.org/0000-0003-1513-4725
Denilson Barbosa,Denilson,Barbosa,University of Alberta,,Member Review Board,Canada,
Srikanta Bedathur,Srikanta,Bedathur,IBM Research,,Member Review Board,United States,https://orcid.org/0000-0002-3949-2175
Philip Bernstein,Philip A.,Bernstein,Microsoft Research,,Member Review Board,United States,
Michael Böhlen,Michael H.,Böhlen,University of Zurich,,Member Review Board,Switzerland,
Peter Boncz,Peter,Boncz,Centrum Wiskunde & Informatica,,Member Review Board,Netherlands,
Angela Bonifati,Angela,Bonifati,University of Lille 1 Sciences and Technology,,Member Review Board,France,https://orcid.org/0000-0002-9582-869X
Philippe Bonnet,Philippe,Bonnet,IT University of Copenhagen,,Member Review Board,Denmark,
Nico Bruno,Nicolas,Bruno,Microsoft Research,,Member Review Board,United States,
Alex Buchmann,Alex,Buchmann,Technical University of Darmstadt,,Member Review Board,Germany,
Mike Cafarella,Michael J.,Cafarella,University of Michigan,,Member Review Board,United States,
K. Selcuk Candan,K. Selçuk,Candan,Arizona State University,,Member Review Board,United States,
Malu Castellanos,Malu,Castellanos,HP Labs,,Member Review Board,United States,
Kaushik Chakrabarti,Kaushik,Chakrabarti,Microsoft Research,,Member Review Board,United States,
Lei Chen,Lei,Chen,Hong Kong University of Science and Technology,,Member Review Board,Hong Kong SAR,
Fei Chiang,Fei,Chiang,McMaster University,,Member Review Board,Canada,
Byron Choi,Byron,Choi,Hong Kong Baptist University,,Member Review Board,Hong Kong SAR,https://orcid.org/0000-0002-8381-336X
Philippe Cudre Mauroux,Philippe,Cudré-Mauroux,University of Fribourg,,Member Review Board,Switzerland,https://orcid.org/0000-0003-2588-4212
Mahashweta Das,Mahashweta,Das,HP Labs,,Member Review Board,United States,
Sudipto Das,Sudipto,Das,Microsoft Research,,Member Review Board,United States,
Amol Desphande,Amol,Deshpande,University of Maryland,,Member Review Board,United States,
Stefan Dessloch,Stefan,Dessloch,Technical University of Kaiserslautern,,Member Review Board,Germany,
Jens Dittrich,Jens,Dittrich,Saarland University,,Member Review Board,Germany,
Alin Dobra,Alin,Dobra,University of Florida,,Member Review Board,United States,
Xin Luna Dong,Xin Luna,Dong,Google,,Member Review Board,United States,
Jennie Duggan,Jennie,Duggan,Massachusetts Institute of Technology,,Member Review Board,United States,
Wenfei Fan,Wenfei,Fan,University of Edinburgh,,Member Review Board,United Kingdom,https://orcid.org/0000-0001-5149-2656
Alan Fekete,Alan,Fekete,University of Sydney,,Member Review Board,Australia,
Peter Fischer,Peter,Fischer,University of Freiburg,,Member Review Board,Germany,
Avrilia Floratou,Avrilia,Floratou,IBM,,Member Review Board,United States,
Avigdor Gal,Avigdor,Gal,Technion,,Member Review Board,Israel,
Minos Garofalakis,Minos,Garofalakis,Technical University of Crete,,Member Review Board,Greece,
Wolfgang Gatterbauer,Wolfgang,Gatterbauer,Carnegie Mellon University,Pittsburgh,Member Review Board,United States,https://orcid.org/0000-0002-9614-0504
Tingjian Ge,Tingjian,Ge,University of Massachusetts,Lowell,Member Review Board,United States,
Floris Geerts,Floris,Geerts,University of Antwerp,,Member Review Board,Belgium,https://orcid.org/0000-0002-8967-2473
Lukasz Golab,Lukasz,Golab,University of Waterloo,,Member Review Board,United States,https://orcid.org/0000-0003-0632-7496
Torsten Grust,Torsten,Grust,University of Tübingen,,Member Review Board,Germany,
Jarek Gryz,Jarek,Gryz,York University,,Member Review Board,Canada,
Dimitrios Gunopulos,Dimitrios,Gunopulos,University of Athens,,Member Review Board,Greece,
Hakan Hacigumus,Hakan,Hacigumus,NEC Laboratories America,,Member Review Board,United States,
Wook Shin Han,Wook-Shin,Han,Pohang University of Science and Technology,,Member Review Board,South Korea,
Seif Haridi,Seif,Haridi,KTH Royal Institute of Technology,,Member Review Board,Sweden,https://orcid.org/0000-0002-6718-0144
Oktie Hassanzadeh,Oktie,Hassanzadeh,IBM Research,Almaden,Member Review Board,United States,https://orcid.org/0000-0001-5307-9857
Bingsheng He,Bingsheng,He,Nanyang Technological University,,Member Review Board,Singapore,
Jeffrey Heer,Jeffrey,Heer,University of Washington,,Member Review Board,United States,https://orcid.org/0000-0002-6175-1655
Herodotos Herodotou,Herodotos,Herodotou,Microsoft Research,,Member Review Board,United States,https://orcid.org/0000-0002-8717-1691
Katja Hose,Katja,Hose,Aalborg University,,Member Review Board,Denmark,https://orcid.org/0000-0001-7025-8099
Vagelis Hristidis,Vagelis,Hristidis,University of California,Riverside,Member Review Board,United States,https://orcid.org/0000-0001-8679-4988
Jeong-Hyon Hwang,Jeong-Hyon,Hwang,State University of New York,Albany,Member Review Board,United States,
Stratos Idreos,Stratos,Idreos,Harvard University,,Member Review Board,United States,
Yannis Ioannidis,Yannis,Ioannidis,University of Athens,,Member Review Board,Greece,
Zachary Ives,Zachary G.,Ives,University of Pennsylvania,,Member Review Board,United States,
Christopher Jermaine,Chris,Jermaine,Rice University,,Member Review Board,United States,
Ruoming Jin,Ruoming,Jin,Kent State University,,Member Review Board,United States,
Alekh Jindal,Alekh,Jindal,Massachusetts Institute of Technology,,Member Review Board,United States,
Ryan Johnson,Ryan,Johnson,University of Toronto,,Member Review Board,Canada,
Eser Kandogan,Eser,Kandogan,IBM Research,Almaden,Member Review Board,United States,
Gjergji Kasneci,Gjergji,Kasneci,Hasso Plattner Institute,,Member Review Board,Germany,
Asterios Katsifodimos,Asterios,Katsifodimos,Technical University of Berlin,,Member Review Board,Germany,
Yannis Katsis,Yannis,Katsis,University of California,San Diego,Member Review Board,United States,
Daniel Keim,Daniel,Keim,University of Konstanz,,Member Review Board,Germany,https://orcid.org/0000-0001-7966-9740
Bettina Kemme,Bettina,Kemme,McGill University,,Member Review Board,Canada,
Eamonn Keogh,Eamonn,Keogh,University of California,Riverside,Member Review Board,United States,https://orcid.org/0000-0002-4188-3968
Martin Kersten,Martin,Kersten,Centrum Wiskunde & Informatica,,Member Review Board,Netherlands,
Daniel Kifer,Daniel,Kifer,Pennsylvania State University,,Member Review Board,United States,https://orcid.org/0000-0002-4611-7066
Hideaki Kimura,Hideaki,Kimura,Hewlett Packard,,Member Review Board,United States,
George Kollios,George,Kollios,Boston University,,Member Review Board,United States,
Donald Kossmann,Donald,Kossmann,ETH Zurich,,Member Review Board,Switzerland,
Nick Koudas,Nick,Koudas,University of Toronto,,Member Review Board,Canada,
Georgia Koutrika,Georgia,Koutrika,HP Labs,,Member Review Board,United States,
Tim Kraska,Tim,Kraska,Brown University,,Member Review Board,United States,
Harumi Kuno,Harumi,Kuno,HP Labs,,Member Review Board,United States,
Laks Lakshmanan,Laks V.S.,Lakshmanan,University of British Columbia,,Member Review Board,Canada,
Paul Larson,Paul,Larson,Microsoft Research,,Member Review Board,United States,
Hongrae Lee,Hongrae,Lee,Google,,Member Review Board,United States,
Wolfgang Lehner,Wolfgang,Lehner,Technical University of Dresden,,Member Review Board,Germany,https://orcid.org/0000-0001-8107-2775
Alberto Lerner,Alberto,Lerner,New York University,,Member Review Board,United States,
Ulf Leser,Ulf,Leser,Humboldt University of Berlin,,Member Review Board,Germany,
Justin Levandoski,Justin,Levandoski,Microsoft Research,,Member Review Board,United States,
Feifei Li,Feifei,Li,University of Utah,,Member Review Board,United States,
Guoliang Li,Guoliang,Li,Tsinghua University,,Member Review Board,China,
Jianzhong Li,Jianzhong,Li,Harbin Institute of Technology,,Member Review Board,China,
Yunyao Li,Yunyao,Li,IBM Research,Almaden,Member Review Board,United States,
Erietta Liarou,Erietta,Liarou,École polytechnique fédérale de Lausanne,,Member Review Board,Switzerland,
Xuemin Lin,Xuemin,Lin,University of New South Wales,,Member Review Board,Australia,
Ziyang Liu,Ziyang,Liu,NEC Laboratories America,,Member Review Board,United States,
