Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
Surajit Chaudhuri,Surajit,Chaudhuri,Microsoft Research,,Editor in Chief,United States,
Jayant Haritsa,Jayant,Haritsa,Indian Institute of Science,Bangalore,Editor in Chief,India,
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Managing Editor,United States,
H. V. Jagadish,H. V.,Jagadish,University of Michigan,,Member Advisory Board,United States,https://orcid.org/0000-0003-0724-5214
Renée J. Miller,Renée J.,Miller,Northeastern University,Boston,Member Advisory Board,United States,
M. Tamer Özsu,M. Tamer,Özsu,University of Waterloo,,Member Advisory Board,United States,https://orcid.org/0000-0002-8126-1717
Kian-Lee Tan,Kian-Lee,Tan,National University of Singapore,,Member Advisory Board,Singapore,
Michael Böhlen,Michael H.,Böhlen,University of Zurich,,Member Advisory Board,Switzerland,https://orcid.org/0000-0003-3694-9026
Susan Davidson,Susan,Davidson,University of Pennsylvania,,Member Advisory Board,United States,
S. Sudarshan,S.,Sudarshan,Indian Institute of Technology,Bombay,Member Advisory Board,India,
Gerhard Weikum,Gerhard,Weikum,Max Planck Institute,Saarbrücken,Member Advisory Board,Germany,
Divesh Srivastava,Divesh,Srivastava,AT&T Labs,,Member Advisory Board,United States,
Srikanta Bedathur,Srikanta,Bedathur,IBM,India,Publication Editor,United States,https://orcid.org/0000-0002-3949-2175
Katja Hose,Katja,Hose,Aalborg University,,Publication Editor,Denmark,https://orcid.org/0000-0001-7025-8099
Daniel Abadi,Daniel,Abadi,Yale University,,Associate Editor,United States,
Peter Boncz,Peter,Boncz,Centrum Wiskunde & Informatica,,Associate Editor,Netherlands,
Anhai Doan,Anhai,Doan,University of Wisconsin,Madison,Associate Editor,United States,
Yanlei Diao,Yanlei,Diao,University of Massachusetts,Amherst,Associate Editor,United States,
Amr El Abbadi,Amr El,Abbadi,University of California,Santa Barbara,Associate Editor,United States,https://orcid.org/0000-0003-4692-3268
Alan Fekete,Alan,Fekete,University of Sydney,,Associate Editor,Australia,
Minos Garofalakis,Minos,Garofalakis,Technical University of Crete,,Associate Editor,Greece,
Alon Halevy,Alon,Halevy,Facebook,,Associate Editor,United States,
Ihab Ilyas,Ihab F.,Ilyas,University of Waterloo,,Associate Editor,United States,https://orcid.org/0000-0001-9052-9714
Donald Kossmann,Donald,Kossmann,ETH Zurich,,Associate Editor,Switzerland,
Sharad Mehrotra,Sharad,Mehrotra,University of California,Irvine,Associate Editor,United States,
Sunita Sarawagi,Sunita,Sarawagi,Indian Institute of Technology,Bombay,Associate Editor,India,
Kyuseok Shim,Kyuseok,Shim,Seoul National University,,Associate Editor,South Korea,
Kian-Lee Tan,Kian-Lee,Tan,National University of Singapore,,Associate Editor,Singapore,
