Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
"Mike Carey, UC Irvine, United States",Mike,Carey,University of California,Irvine,"Industrial, Applications, and Experience PC Chair",United States,
"Sihem Amer-Yahia, Yahoo! Research, United States",Sihem,Amer-Yahia,Yahoo Research,?,"Industrial, Applications, and Experience PC Chair",United States,
"Roberto Bayardo, Google, United States",Roberto,Bayardo,Google,Mountain View,"Industrial, Applications, and Experience PC Member",United States,
"Michael Brodie, Verizon, United States",Michael,Brodie,Verizon,?,"Industrial, Applications, and Experience PC Member",United States,
"Takeshi Fukuda, IBM, Japan",Takeshi,Fukuda,IBM Research,Yamato,"Industrial, Applications, and Experience PC Member",Japan,https://orcid.org/0000-0003-4848-4078
"Johannes Gehrke, FAST, Germany",Johannes,Gehrke,FAST,?,"Industrial, Applications, and Experience PC Member",Germany,
"Alex Gorelik, Exeros, United States",Alex,Gorelik,Exeros,?,"Industrial, Applications, and Experience PC Member",United States,
"Mary Holstege, MarkLogic, United States",Mary,Holstege,MarkLogic,San Francisco,"Industrial, Applications, and Experience PC Member",United States,
"Panos Ipeirotis, NYU Stern, United States",Panos,Ipeirotis,New York University,New York City,"Industrial, Applications, and Experience PC Member",United States,https://orcid.org/0000-0002-2966-7402
"Dean Jacobs, SAP, Germany",Dean,Jacobs,SAP,Munich,"Industrial, Applications, and Experience PC Member",Germany,
"Ravi Krishnamurthy, Kickfire, United States",Ravi,Krishnamurthy,Kickfire,Santa Clara,"Industrial, Applications, and Experience PC Member",United States,
"Sailesh Krishnamurthy, Truviso, United States",Sailesh,Krishnamurthy,Truviso,Foster City,"Industrial, Applications, and Experience PC Member",United States,
"Ravi Murthy, Oracle, United States",Ravi,Murthy,Oracle,?,"Industrial, Applications, and Experience PC Member",United States,
"Marie-Anne Neimat, Oracle, United States",Marie-Anne,Neimat,Oracle,,"Industrial, Applications, and Experience PC Member",United States,
"Bill O'Connell, IBM, United States",Bill,O'connell,IBM,Wheaton,"Industrial, Applications, and Experience PC Member",United States,
"Makoto Onizuka, NTT Labs, Japan",Makoto,Onizuka,NTT Communication Science Laboratories,Tokyo/Kyoto,"Industrial, Applications, and Experience PC Member",Japan,https://orcid.org/0000-0001-5559-8300
"Hwee Hwa Pang, Singapore Management University, Singapore",Hwee Hwa,Pang,Singapore Management University,Singapore,"Industrial, Applications, and Experience PC Member",Singapore,
"Serge Rielau, IBM Toronto, Canada",Serge,Rielau,IBM,Toronto,"Industrial, Applications, and Experience PC Member",Canada,
"Jonathan Robie, Redhat",Jonathan,Robie,Red Hat,Raleigh,"Industrial, Applications, and Experience PC Member",United States,
"Mary Roth, IBM, United States",Mary,Roth,IBM Research,Almaden,"Industrial, Applications, and Experience PC Member",United States,
"Donovan Schneider, Yahoo!, United States",Donovan,Schneider,Yahoo,?,"Industrial, Applications, and Experience PC Member",United States,
"Len Seligman, MITRE Corporation, United States",Len,Seligman,Mitre Corporation,? McLean (Headquarters),"Industrial, Applications, and Experience PC Member",United States,
"Ming-Chien Shan, SAP, China",Ming-Chien,Shan,SAP,?,"Industrial, Applications, and Experience PC Member",China,
"Alex Szalay, Johns Hopkins University, United States",Alex,Szalay,Johns Hopkins University,Baltimore,"Industrial, Applications, and Experience PC Member",United States,https://orcid.org/0000-0002-4108-3282
"Brian Vickery, HP, United States",Brian,Vickery,HP,Los Gatos,"Industrial, Applications, and Experience PC Member",United States,
"Kevin Wilkinson, HP, United States",Kevin,Wilkinson,HP,Palo Alto,"Industrial, Applications, and Experience PC Member",United States,
"Patrick Valduriez, INRIA Nantes",Patrick,Valduriez,INRIA,Nantes,General Chair,France,https://orcid.org/0000-0001-6506-7538
"Serge Abiteboul, INRIA Saclay",Serge,Abiteboul,INRIA,Saclay,Technical Program Chair,France,
"Mohand-Said Hacid, Univ. Lyon 1",Mohand-Said,Hacid,Claude Bernard University Lyon 1,Lyon,Local Organization Chairs,France,
"Jean-Marc Petit, INSA Lyon",Jean-Marc,Petit,INSA Lyon,Lyon,Local Organization Chairs,France,https://orcid.org/0000-0002-0015-745X
"Jignesh M. Patel, Univ. Wisconsin",Jignesh M.,Patel,University of Wisconsin,Madison,Core Database Technology Program Chair,United States,
"Tova Milo, Tel Aviv Univ.",Tova,Milo,Tel Aviv University,Tel Aviv,Infrastructure for Information Systems Program Chair,Israel,
"Volker Markl, IBM Almaden",Volker,Markl,IBM Research,Almaden,Experiments and Analyses PC Chair,United States,
"Philippe Pucheral, INRIA Rocquencourt",Philippe,Pucheral,INRIA,Rocquencourt,Demonstration PC Chair,France,
"Neoklis Polyzotis, UC Santa Cruz",Neoklis,Polyzotis,University of California,Santa Cruz,Demonstration PC Chair,United States,https://orcid.org/0000-0002-2694-8591
"Jayant Haritsa, IISc Bangalore",Jayant,Haritsa,Indian Institute of Science,Bangalore,Demonstration PC Chair,India,
