Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
"Shahram Ghandeharizadeh, USC",Shahram,Ghandeharizadeh,University of Southern California,Los Angeles,General Conference Chair,United States,
"Lei Chen, HKUST",Lei,Chen,Hong Kong University of Science and Technology,Hong Kong,Program Committee Chairs,Hong Kong SAR,
"Fatma Özcan, IBM Research - Almaden",Fatma,Özcan,IBM Research,Almaden,Program Committee Chairs,United States,
"K. Selçuk Candan, ASU",K. Selçuk,Candan,Arizona State University,Tempe,Treasury Chair,United States,
"Chen Li, UC - Irvine",Chen,Li,University of California,Irvine,Liaison for Industrial Sponsors,United States,
"Anand Deshpande, Persistent Systems",Anand,Deshpande,Persistent Systems,Pune,Sponsorship Committee Chairs,India,
"Xiaoyong Du, Renmin University",Xiaoyong,Du,Renmin University of China,Beijing,Sponsorship Committee Chairs,China,
"Volker Markl, TU Berlin",Volker,Markl,Technical University of Berlin,Berlin,Sponsorship Committee Chairs,Germany,
"Renee Miller, Northeastern",Renée J.,Miller,Northeastern University,Boston,Sponsorship Committee Chairs,United States,https://orcid.org/0000-0002-1484-4787
"Michael Carey, UCI",Michael,Carey,University of California,Irvine,VLDB Endowment Representative,United States,
"Sumita Barahmand, Microsoft",Sumita,Barahmand,Microsoft,Redmond,Publicity Committee Chairs,United States,
"Jason Yap, Google",Jason,Yap,Google,Mountain View,Publicity Committee Chairs,United States,
"Amr El Abbadi, UCSB",Amr El,Abbadi,University of California,Santa Barbara,Tutorial Chairs,United States,https://orcid.org/0000-0003-4692-3268
"Xin Luna Dong, Amazon",Xin Luna,Dong,Amazon,Seattle,Tutorial Chairs,United States,
"Beng Chin Ooi, NUS - Singapore",Beng Chin,Ooi,National University of Singapore,Singapore,Industrial Chairs,Singapore,https://orcid.org/0000-0003-4446-1100
"Pat Helland, Salesforce",Pat,Helland,Salesforce,?,Industrial Chairs,United States,
"Wolfgang Lehner, TU Dresden",Wolfgang,Lehner,Technical University of Dresden,Dresden,Industrial Chairs,Germany,https://orcid.org/0000-0001-8107-2775
"Alin Deutsch, UCSD",Alin,Deutsch,University of California,San Diego,Demo Chairs,United States,
"Nesime Tatbul, Intel Labs and MIT",Nesime,Tatbul,Massachusetts Institute of Technology,Cambridge,Demo Chairs,United States,
"Sang Kyun Cha, National Seoul University",Sang Kyun,Cha,Seoul National University,Seoul,Panel Chairs,South Korea,
"M. Tamer Özsu, University of Waterloo",M. Tamer,Özsu,University of Waterloo,Waterloo,Panel Chairs,United States,https://orcid.org/0000-0002-8126-1717
"Sharad Mehrotra, UCI",Sharad,Mehrotra,University of California,Irvine,Workshop Chairs,United States,
"Yuanyuan Tian, IBM Research - Almaden",Yuanyuan,Tian,IBM Research,Almaden,Workshop Chairs,United States,
"Ilaria Bartolini, University of Bologna",Ilaria,Bartolini,University of Bologna,Bologna,PhD Workshop Chairs,Italy,https://orcid.org/0000-0002-8074-1129
"Feifei Li, Alibaba",Feifei,Li,Alibaba Group,Hangzhou,PhD Workshop Chairs,China,
"Abdul Quamar, IBM Research - Almaden",Abdul,Quamar,IBM Research,Almaden,Proceedings Chairs,United States,
"Yongxin Tong, Beihang University",Yongxin,Tong,Beihang University,Bejing,Proceedings Chairs,China,https://orcid.org/0000-0002-5598-0312
"Mehran Barahmand, Amazon",Mehran,Barahmand,Amazon,Seattle,Web / Information Chair,United States,
"Tyson Condie, Microsoft",Tyson,Condie,Microsoft Research,Redmond,Local Arrangements Chairs,United States,
"Beth Trushkowsky, HMC",Beth,Trushkowsky,Harvey Mudd College,Claremont,Local Arrangements Chairs,United States,
"Ahmed Eldawy, UCR",Ahmed,Eldawy,University of California,Riverside,Registration Chairs,United States,
"Faisal Nawab, UC Santa Cruz",Faisal,Nawab,University of California,Santa Cruz,Registration Chairs,United States,https://orcid.org/0000-0002-6101-900X
"Mohammad Sadoghi, UC Davis",Mohammad,Sadoghi,University of California,Davis,System Chair,United States,https://orcid.org/0000-0003-2779-6080
"Mariam Salloum, UCR",Mariam,Salloum,University of California,Riverside,Booklet Chair,United States,
