Name,FirstName,LastName,Affiliation,Location,Role,Country,OrcID
"Anand Deshpande (Persistent Systems, India)",Anand,Deshpande,Persistent Systems,Pune,General Conference Chairs,India,
"T M Vijayaraman (Persistent Systems, India) ",T M,Vijayaraman,Persistent Systems,Pune,General Conference Chairs,India,
"Mukesh Mohania (IBM Research, India and Australia)",Mukesh,Mohania,IBM Research,India,Organization Committee Chair,India,
"Surajit Chaudhuri (Microsoft Research, USA)",Surajit,Chaudhuri,Microsoft Research,Redmond,Program Committee Chairs,United States,
"Jayant Haritsa (IISc Bangalore, India)",Jayant,Haritsa,Indian Institute of Science,Bangalore,Program Committee Chairs,India,
"Rohit Kamat (Persistent Systems, India)",Rohit,Kamat,Persistent Systems,Pune,Treasury Chair,India,
"S Sudarshan (IIT Bombay, India)",S,Sudarshan,Indian Institute of Technology,Bombay,VLDB Endowment Representative,India,
"Michael Carey (University of California - Irvine, USA)",Michael J.,Carey,University of California,Irvine,Sponsorship Committee Chairs,United States,
"Anand Deshpande (Persistent Systems, India)",Anand,Deshpande,Persistent Systems,Pune,Sponsorship Committee Chairs,India,
"Rajkumar Sen (MemSQL, USA)",Rajkumar,Sen,MemSQL,San Francisco,Publicity Committee Chairs,United States,
"Manish Bhide (IBM Software Lab, India)",Manish,Bhide,IBM Research,India,Publicity Committee Chairs,India,
"Chris Re (Stanford University, USA)",Chris,Re,Stanford University,Stanford,Tutorial Chairs,United States,
"S Sudarshan (IIT Bombay, India)",S,Sudarshan,Indian Institute of Technology,Bombay,Tutorial Chairs,India,
"Gerhard Weikum (Max-Planck Institute for Informatics, Germany) ",Gerhard,Weikum,Max Planck Institute,Saarbrücken,Tutorial Chairs,Germany,
"Gustavo Alonso (ETH Zurich, Switzerland)",Gustavo,Alonso,ETH Zurich,Zurich,Industrial Chairs,Switzerland,
"Anant Jhingran (Apigee, USA)",Anant,Jhingran,Apigee,San Jose,Industrial Chairs,United States,
"S Seshadri (Zettata, India)",S,Seshadri,Zettata,?,Industrial Chairs,India,
"Mike Cafarella (University of Michigan - Ann Arbor, USA)",Mike,Cafarella,University of Michigan,Ann Arbor,Demo Chairs,United States,
"Stratos Idreos (Harvard University, USA)",Stratos,Idreos,Harvard University,Cambridge,Demo Chairs,United States,
"Anthony Tung (NUS, Singapore)",Anthony K. H.,Tung,National University of Singapore,Singapore,Demo Chairs,Singapore,https://orcid.org/0000-0002-5125-855X
"Juliana Freire (New York University, USA)",Juliana,Freire,New York University,New York City,Panel Chairs,United States,https://orcid.org/0000-0003-3915-7075
"Sam Madden (MIT, USA)",Samuel,Madden,Massachusetts Institute of Technology,Cambridge,Panel Chairs,United States,
